adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 74508, 'name': '[REC] Collection', 'poster_path': '/jTA37dMZVUFej20EoM5SomKtnYi.jpg', 'backdrop_path': '/rDzuccVBZSyNVQ26hTRT0DvneVA.jpg'}",5600000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",http://www.rec2themovie.com/,10664,tt1245112,es,[REC]²,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",8.853168,/5TtMZGiZCM1JLtogK5Xj8UaKQSn.jpg,"[{'name': 'Filmax', 'id': 3631}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2009-09-15,18469680.0,85.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,Fear Revisited,[REC]²,False,6.5,496.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,256756,tt3374866,es,Purgatorio,A  woman must survive the night after she welcomes a neighbor's child into her home.,0.3475,/2qDOp1jkOkE23q1xPpkyNQva1yp.jpg,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2014-03-28,0.0,83.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Purgatory,False,5.3,3.0
False,,0,"[{'id': 27, 'name': 'Horror'}]",,334175,tt4240654,tr,Siccin: Büyü Haramdir,"Öznur is a young and beautiful woman. She has had a platonic love since childhood to Kudret, who is her cousin. Kudret, however, is married to a woman named Nisa and is very happy. Jealous, Öznur uses terrible black magic to change this so that she and Kudret will be together. However, she is not prepared for the evil that this spell unleashes.",0.460433,/lAiaKzlgOUvfV7KOy8KNY9ecErX.jpg,[],"[{'iso_3166_1': 'TR', 'name': 'Turkey'}]",2014-09-26,0.0,96.0,"[{'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,,Siccîn,False,5.3,3.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",https://www.sweetsweetlonelygirl.com/,407757,tt5207320,en,"Sweet, Sweet Lonely Girl","Soon after moving in with her aging aunt Dora, Adele meets Beth, seductive and mysterious, who tests the limits of Adele's moral ground and sends her spiraling down a psychologically unstable and phantasmagoric path.",1.475247,/tKjdsK8JNwo8UXRMYwHq15rW5Uo.jpg,"[{'name': 'Greyshack Films', 'id': 20847}, {'name': 'Budderfly Productions', 'id': 50863}, {'name': 'Goodnight Film', 'id': 50867}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-09-22,0.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Evil loves the lonely.,"Sweet, Sweet Lonely Girl",False,6.4,7.0
False,,6500000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,9539,tt1029234,fr,Martyrs,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",7.716326,/fC2Uld8qZ6waCuo71oTKzJTscaN.jpg,"[{'name': 'Eskwad', 'id': 616}, {'name': 'Wild Bunch', 'id': 856}, {'name': 'TCB Films', 'id': 2578}, {'name': 'Canal+', 'id': 5358}, {'name': 'CinéCinéma', 'id': 6301}, {'name': 'Canal Horizons', 'id': 22029}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2008-09-03,0.0,99.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,They did not finish to be alive...,Martyrs,False,7.3,581.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,68572,tt0195165,en,Possessed,"An 11 year old boy starts throwing temper tantrums, vomiting on and attacking people, and swearing uncontrollably.  Furniture begins to move on its own when he is around, and he doesn't remember any of it.  After giving up on the protestants, the boy's parents turn to the catholic church for help.  Father Bowden is a WWII veteran who is experiencing nightmares, flashbacks and other personal problems, including alcoholism.  He is recruited by the archbishop to perform a series of exorcisms.  This is the apparent true account of the last exorcism known to have been done by the catholic church.",0.289559,/s6lOwuMgUMfZ5IBhpw8EXzXTONi.jpg,"[{'name': 'Flashpoint (I)', 'id': 13495}, {'name': 'MainTitle Pictures', 'id': 13496}, {'name': 'Prosperity Pictures', 'id': 13497}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-22,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Possessed,False,4.3,7.0
False,"{'id': 173628, 'name': 'Nekromantik Collection', 'poster_path': '/70exz0UX6YFgAvtJTKIDyZ3ZttI.jpg', 'backdrop_path': None}",0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,11822,tt0093608,de,Nekromantik,"A street sweeper who cleans up after grisly accidents brings home a full corpse for him and his wife to enjoy sexually, but is dismayed to see that his wife prefers the corpse over him.",3.220487,/xNKYPkV5965pKkiObDzp9pGKMj7.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1987-05-27,0.0,75.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Nekromantik,False,5.4,51.0
False,,0,"[{'id': 27, 'name': 'Horror'}]",,12759,tt0482495,en,Doll Graveyard,"It's 1905 when 12 year old Sophia plays all by herself in her big, creepy house with only four handmade dolls as friends. When her abusive father has finally had enough, he forces her to bury them in the backyard. But, after she ""slips"" and breaks her neck, dad buries her right along with the dolls. 100 years later, the Fillbrook family moves into the very same house.",0.657628,/kPc346NVcFnPozr4tox0A8uOi8K.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-01,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Doll Graveyard,False,2.9,7.0
False,,250000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,16266,tt1132130,en,2012 Doomsday,"On December 21, 2012 four strangers on a journey of faith are drawn to an ancient temple in the heart of Mexico. For the Mayans it is the last recorded day. For NASA scientists it is a cataclysmic polar shift. For the rest of us, it is Doomsday.",2.37802,/mGZqHGUAT1GCQMO4U7hhoJd2vWm.jpg,[],[],2008-02-12,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An Ancient Prophecy Foretold. A Scientific Discovery Revealed.,2012 Doomsday,False,2.3,32.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,109213,tt0092288,en,The Zero Boys,A group of friends travel to a wilderness area to play a survival game. Soon they unexpectedly find themselves in a real-life survival situation.,1.176132,/31GxwHBfb5sup9os3XdoirVjO6p.jpg,"[{'name': 'Omega Entertainment', 'id': 8101}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-01-01,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Dawn Of A New Breed Of Heroes,The Zero Boys,False,5.3,8.0
