adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 74508, 'name': '[REC] Collection', 'poster_path': '/jTA37dMZVUFej20EoM5SomKtnYi.jpg', 'backdrop_path': '/rDzuccVBZSyNVQ26hTRT0DvneVA.jpg'}",5600000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",http://www.rec2themovie.com/,10664,tt1245112,es,[REC]²,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",8.853168,/5TtMZGiZCM1JLtogK5Xj8UaKQSn.jpg,"[{'name': 'Filmax', 'id': 3631}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2009-09-15,18469680.0,85.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,Fear Revisited,[REC]²,False,6.5,496.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",,90802,tt0074345,en,Il conto è chiuso,"Stelvio Massi's crime thriller centers on a drifter who sets out to help blue-collar workers rise up against the two powerful families who are exploiting them. After settling in an industrial town and witnessing the cruelty of the factory owners, ex-mercenary Marco (Carlos Monzón) assumes the role of union agitator. When a violent confrontation erupts, the labor leader is driven to bring down the corrupt clans.",0.005625,/kXjNY8msQfqyosVNcmHkc7QHYnx.jpg,[],[],1976-12-30,0.0,0.0,[],Rumored,,The Last Round,False,0.0,0.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,25646,tt1144797,en,Death Warrior,"A gritty MMA fighter is forced into a twisted, underground gambling ring in which he must fight to the death with other MMA fighters in order to save his wife from certain death at the hands of a maniacal crime boss. In a desperate race against time, he is forced into a series of increasingly violent life and death matches while simultaneously piecing together the puzzle which leads him to uncover",0.461768,/hlgy2S35LzDM4NysYl82hB5KoiQ.jpg,[],[],2009-11-27,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Death Warrior,False,4.1,5.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,72847,tt0039937,en,The Unfaithful,Chris Hunter kills an intruder and tells her husband and lawyer it was an act of self-defense. It's later revealed that he was actually her lover and she had posed for an incriminating statue he created.,0.98852,/bvwfYtRdlWCgURKo3oX7Kp7lCqw.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-06-05,0.0,109.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's so easy to cry 'SHAME'!,The Unfaithful,False,5.8,3.0
False,"{'id': 52785, 'name': 'xXx Collection', 'poster_path': '/omRo1Pw4phlELRgYOQ7RyAlccLt.jpg', 'backdrop_path': '/g9Q2dmbxd1F2hHB5VslPbqGM1JV.jpg'}",60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.sonypictures.com/movies/xxxstateoftheunion/,11679,tt0329774,en,xXx: State of the Union,"Ice Cube stars as Darius Stone, a thrill-seeking troublemaker whose criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert (played by Willem Dafoe).",19.144611,/sNnciVEuolaZoIzn5v2rP0pjiL0.jpg,"[{'name': 'Original Film', 'id': 333}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Revolution Studios', 'id': 497}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-04-27,71073932.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Prepare for the next level,xXx: State of the Union,False,4.7,565.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",https://www.sweetsweetlonelygirl.com/,407757,tt5207320,en,"Sweet, Sweet Lonely Girl","Soon after moving in with her aging aunt Dora, Adele meets Beth, seductive and mysterious, who tests the limits of Adele's moral ground and sends her spiraling down a psychologically unstable and phantasmagoric path.",1.475247,/tKjdsK8JNwo8UXRMYwHq15rW5Uo.jpg,"[{'name': 'Greyshack Films', 'id': 20847}, {'name': 'Budderfly Productions', 'id': 50863}, {'name': 'Goodnight Film', 'id': 50867}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-09-22,0.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Evil loves the lonely.,"Sweet, Sweet Lonely Girl",False,6.4,7.0
False,,5000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,436994,tt6830780,ko,루시드 드림,"Dae-ho, an investigative journalist, seeks to track down the whereabouts of his son who was abducted three years ago. With the help of a detective and a psychiatrist friend, he will retrace his memory of the incident through the use of lucid dreaming techniques.",1.748838,/kFNCZo3ME1q83x6AfkSdhGZZOUG.jpg,"[{'name': '(주)로드픽쳐스', 'id': 87426}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2017-02-22,0.0,101.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Lucid Dream,False,6.8,27.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,23132,tt0294252,ko,2009 로스트메모리즈,"There are breakpoints in the history, the result of a single event may change the whole course. In 1909, an assassination attempt of a Japanese governor fails. Now, in 2009, Korea is just another state of Japan's Empire & Seoul has become a major city. A Korean resistance group fights for liberty, independence & the restoration of true history. Two cops, Japanese & Korean, investigate the group.",2.111875,/hFZnTJilqKbzKljrjQTArZWgu9J.jpg,"[{'name': 'Indecom Cinema', 'id': 4188}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2002-02-01,0.0,136.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,The war has begun!,2009: Lost Memories,False,5.2,24.0
False,,6500000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,9539,tt1029234,fr,Martyrs,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",7.716326,/fC2Uld8qZ6waCuo71oTKzJTscaN.jpg,"[{'name': 'Eskwad', 'id': 616}, {'name': 'Wild Bunch', 'id': 856}, {'name': 'TCB Films', 'id': 2578}, {'name': 'Canal+', 'id': 5358}, {'name': 'CinéCinéma', 'id': 6301}, {'name': 'Canal Horizons', 'id': 22029}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2008-09-03,0.0,99.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,They did not finish to be alive...,Martyrs,False,7.3,581.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",,30624,tt0040740,en,Road House,A night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him.,0.584114,/vw58pu7QeYDbE5E6hbAiVqRv1qJ.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1948-09-22,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's nothing like a woman to come between men !,Road House,False,6.2,7.0
