adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",,163814,tt2193456,en,Nearlyweds,Revolves around three friends who have dream weddings only to find out that the pastor who married them failed to complete the key paperwork required to make them official.,1.630406,/6owlxLD0LKnQlJ3Ck0r3liZcvVR.jpg,"[{'name': 'Pitchblack Pictures Inc.', 'id': 5723}, {'name': 'Wonderfly Films', 'id': 77329}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-05-02,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Nearlyweds,False,4.9,13.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10770, 'name': 'TV Movie'}]",,86778,tt0057916,en,A Carol for Another Christmas,"Director Joseph Mankiewicz's first work for television, the 90-minute ABC drama was publicized as having an all-star cast (which meant that names of some supporting cast members were not officially released). In Rod Serling's update of Charles Dickens, industrial tycoon Daniel Grudge has never recovered from the loss of his 22-year-old son Marley, killed in action during Christmas Eve of 1944. The embittered Grudge has only scorn for any American involvement in international affairs. But then the Ghost of Christmas Past takes him back through time to a World War I troopship. Grudge also is visited by the Ghost of Christmas Present, and the Ghost of Christmas Future gives him a tour across a desolate landscape where he sees the ruins of a once-great civilization.",0.151184,/dN5BsqHdAUaH1GmhygE1YmM8wUw.jpg,"[{'name': 'American Broadcasting Company (ABC)', 'id': 3065}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1964-12-28,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,A Carol for Another Christmas,False,4.3,3.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,103432,tt0070497,en,Outrage,One man decides to wage war against a gang of teenage punks besieging an affluent California community. Based on a true incident.,0.109861,/3KkQs9mIdTKOw5tdnObuBfEgycj.jpg,"[{'name': 'ABC Circle Films', 'id': 2166}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1973-11-28,0.0,74.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Outrage,False,5.2,3.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://www.hbo.com/movies/the-special-relationship/index.html,45371,tt1117646,en,The Special Relationship,"A dramatisation that follows Tony Blair's journey from political understudy waiting in the wings of the world arena to accomplished prime minister standing confidently in the spotlight of centre stage. It is a story about relationships, between two powerful men (Blair and Bill Clinton), two powerful couples, and husbands and wives.",1.753332,/bWU9DCxnGX5GVuOpWoJpYCSk7b5.jpg,[],[],2010-05-29,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Never underestimate the politics of friendship,The Special Relationship,False,5.7,15.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 35, 'name': 'Comedy'}]",,52304,tt0099054,en,Archie To Riverdale and Back Again,The classic comic book characters created by John L. Goldwater are brought to tv in a slightly older version. Here the characters are adults returning to their high school reunion and remembering old times and romances from good old Riverdale High,0.045173,/rOqNMGW3v8F1wnMER3RvuUD2msV.jpg,"[{'name': 'Patchett Kaufman Entertainment', 'id': 4963}, {'name': 'DiC Entertainment', 'id': 20477}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-05-06,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Archie To Riverdale and Back Again,False,5.5,1.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 35, 'name': 'Comedy'}]",http://www.hallmarkchannel.com/imarriedwho,139251,tt2107651,en,I Married Who?,"Straight-laced Jordan (Martin) is about to marry Peter (Snedeker), a clean-cut ambitious attorney. Before she walks down the aisle, Jordan and her best friends, Claire (Adrienne Frantz) and Jessica (Daphnee Duplaix), head to Vegas for a bachelorette party, because what happens in Vegas stays in Vegas, right? But when Jordan wakes up the next morning unable to recall the night before, she panics when she finds she’s in movie star Matt's (Ethan Erickson) hotel suite with a gigantic diamond on her finger and a marriage certificate lying nearby. Before Jordan can have the marriage annulled and put this nightmare behind her, the impromptu wedding explodes into a publicity stunt fueled by Matt’s manager Eric (Bruce Nozick) to promote his latest movie. With her wedding day approaching, Jordan finds herself more confused than ever when she starts falling in love with the movie star she’s married to instead of the fiancé she thought was her perfect match.",1.931262,/5Jq4Bc8gCCp1KMRPIEfoIUU7TA8.jpg,"[{'name': 'Larry Levinson Productions', 'id': 3282}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-10-20,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,I Married Who?,False,5.0,6.0
False,,5000000,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,39433,tt1493246,en,The Front,"Based on the second book of Patricia Cornwell's best-selling Win Garano series, The Front brings back high-powered and sexy Boston District Attorney Monique Lamont and her favorite ace detective, Win Garano, in a fast-paced mystery. Determined to generate much-needed publicity as her career in politics begins to lose its shine, Monique orders Win to re-open an investigation into an unsolved homicide that took place in one of Boston's small outlying communities served by ""The Front,"" a coalition of small, local police departments that have banded together to fight crime.",0.879077,/mEPb9JncGr7G9IhLzXsLmotBVKI.jpg,"[{'name': 'Lifetime Television', 'id': 6530}, {'name': 'Park Entertainment', 'id': 74172}, {'name': 'Wingarano Productions', 'id': 93347}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-04-17,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Front,False,5.1,9.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.mylifetime.com/movies/non-stop,240913,tt2857160,en,Non-Stop,"Mysterious emotional thriller about a woman who, after being left at the altar, has a brief liaison with a handsome stranger on a plane which ultimately puts her – and everyone else on the flight – in terrible danger.",1.742471,/p8BiU5BYcZXl8ApuNFmwJ4yoLyb.jpg,"[{'name': 'Check Entertainment', 'id': 23384}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-11-29,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Non-Stop,False,5.7,17.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10770, 'name': 'TV Movie'}]",,44811,tt1504443,en,Mongolian Death Worm,"When an American oil company sets up an experimental drilling plant out in the vast deserts of Mongolia, they awaken a nest. The deadly creatures begin to breed and spread, devouring everyone in their path. The only person who can stop them is treasure hunter and adventure seeker who spent his life searching for a legendary tomb, fabled to be protected by the Death Worms. He knows he must do what he can to kill the creatures, but stopping these monsters may mean destroying his life's work forever!",0.604059,/r54xTY8G3iJOl1TH314ZQUfaQyH.jpg,"[{'name': 'Black Chrome Productions', 'id': 11128}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-04-08,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Mongolian Death Worm,False,2.8,6.0
False,,300000,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}, {'id': 10770, 'name': 'TV Movie'}]",,140595,tt0308213,en,Elaine Stritch: At Liberty,Judy at the Palace. Sinatra at Carnegie Hall. Streisand at the Garden. Stritch on Broadway. Legendary performances come along so rarely.,0.089067,/k4HGhaRWfEl7ZWXuh3Mq2EEG9ER.jpg,"[{'name': 'Pennebaker Hegedus Films, Inc.', 'id': 24487}, {'name': 'Second Act Productions', 'id': 71837}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-01-01,0.0,140.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Legendary performances come along so rarely.,Elaine Stritch: At Liberty,False,10.0,1.0
