adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,33765,tt0056141,en,A Kind of Loving,"After his girlfriend's pregnancy forces him to marry her, a young man must adjust to his new life and contend with his domineering mother-in-law.",0.720133,/qklayS1lL9m0Nw8g5l7hMuujSe4.jpg,"[{'name': 'Vic Films Productions', 'id': 11707}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1962-04-12,0.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A kind of loving that knew no wrong until it was too late!,A Kind of Loving,False,7.9,12.0
False,,1000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",http://films.vice.com/a-girl-walks-home/,252171,tt2326554,en,A Girl Walks Home Alone at Night,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",6.039895,/fJ9wX5BzJL4p5R5x8y7SjZOuEoO.jpg,"[{'name': 'SpectreVision', 'id': 34519}, {'name': 'Black Light District', 'id': 51192}, {'name': 'Say Ahh Productions', 'id': 51193}, {'name': 'Logan Pictures', 'id': 51194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-01-19,395000.0,99.0,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,A Girl Walks Home Alone at Night,False,6.9,258.0
False,"{'id': 106784, 'name': 'Love in the City Collection', 'poster_path': '/xhRO4HSdJv2i5MQIW8nt6PC3JWK.jpg', 'backdrop_path': '/6ZPtYW6h1M4K3URZMr7ZBgmTv8N.jpg'}",3500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,24686,tt1366687,en,Lyubov V Bolshom Gorode,"Three Russian friends work in New York, party hard and chase women. It's great times until they get cursed by a drunken Russian night club owner, who turns out to be Saint Valentine. St. Valentine's curse is simple - the guys lose all their manly powers until they find their true love. It turns out to be harder than it sounds - our boys have a lot of growing up to do. Fast.",1.03513,/zP15GbVB3HW5ecWVvzgDjLLI0WZ.jpg,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'UA', 'name': 'Ukraine'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-03-05,9112193.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Love and the City,False,5.1,14.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,59362,tt0480572,hi,Pyaar Ke Side Effects,"Siddharth Bose lives a middle-classed lifestyle in Delhi along with his mother, and sister, Shalini. Their dad had abandoned them years ago. Shalini gets married to Kapil Sharma and moves in with him, while Siddharth works as a DJ with his friend, known simply as Nanoo. While performing for a ceremony, where Punjabi-speaking Trisha Mallick is about to wed India's youngest C.E.O., Vivek Chaddha, Siddharth sneaks in to use the bathroom and finds out that the bride does not love the groom and is about to run away. He manages to convince her to stay put, uses the facility and leaves. He meets her six months later in Mumbai, and he finds out that she did run away, both are attracted to each other and start living together fairly harmoniously, even though Trisha is taller than him.",0.160698,/8lzoKci4VWWMiSoE1qZ87JVE173.jpg,"[{'name': 'Pritish Nandy Communications', 'id': 92630}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2006-09-15,0.0,132.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Watch love crash in this season.,Pyaar Ke Side Effects,False,6.3,3.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,106482,tt0102733,en,Pyrates,"As soon as they meet Ari and Sam get into a pretty passionate - and combustible - relationship. Indeed, the scenes of their rendezvous often seem reminiscent of the Chicago Fire. But the course of true flaming lust never runs true, and as they try to handle their all-consuming passion their two best friends endlessly meet to compare notes on developments.",0.375724,/wgSSAcTIaByY2kl8vmx87fx52dY.jpg,"[{'name': 'Act III Communications', 'id': 1153}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-12-18,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sam and Ari are getting on like a house on fire!,Pyrates,False,0.0,0.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",,27307,tt0097530,en,How I Got Into College,"The simple story of two young Michigan high school students, Jessica, Class President, Local Smart Girl, and object of Marlon's affections attempt to get into a small Pennsylvania college. Jessica fights off her parent's expectation of going to their alma mater of the University of Michigan, while Marlon fights his grades and SAT scores.",1.643663,/9cKFRvbKJDCniaKFljx6wTlQNTw.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1989-05-19,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A horror story so intense, so barbaric, so frightening it will have you running for your local army recruiter.",How I Got Into College,False,5.5,12.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,63334,tt0376874,en,Sexual Life,Disparate individuals rationalize their infidelities.,0.116586,/lOA3gIj0mp6kubifhd90aZOtK9a.jpg,[],[],2005-01-05,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's all about sex.,Sexual Life,False,4.0,1.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,110131,tt0055758,hu,Az aranyember,,0.128402,/oZ0jimsptFj9fKmuKRQUIevxoMC.jpg,"[{'name': 'Hunnia Filmgyár', 'id': 44089}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1962-12-13,0.0,107.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,The Man of Gold,False,7.8,2.0
False,,80000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",,10202,tt0960731,en,Bedtime Stories,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,10.739419,/nhovvB0LO5nlgIvpPg2C1iLLAvr.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Gunn Films', 'id': 3538}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-12-24,212874442.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Whatever they dream up... he has to survive.,Bedtime Stories,False,5.9,924.0
False,,4881000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,188183,tt2169322,zh,Bei Jing yu shang Xi Ya Tu,"Tang Wei plays Jiajia, a young woman in Beijing who lives a luxurious life provided by her wealthy boyfriend. When Jiajia got pregnant, she goes to the United States, hoping that the baby will be born an American citizen. While waiting for the baby’s arrival, Jiajia loses contact with her boyfriend and suddenly finds that she is unable to make end meets. At this point, she meets Frank, played by Wu Xiubo, who offers help and makes her think twice about who her Mr. Right really is.",2.32186,/i5878aOaviEYHhddwBzEVW0RazX.jpg,[],"[{'iso_3166_1': 'CN', 'name': 'China'}]",2013-03-20,81350000.0,123.0,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,Finding Mr. Right,False,6.3,42.0
