adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,18975,tt0115472,en,The Adventures of Pinocchio,"One of puppet-maker Geppetto's creations comes magically to life. This puppet, Pinocchio, has one major desire and that is to become a real boy someday. In order to accomplish this goal he has to learn to act responsibly. This film shows you the adventures on which he learns valuable lessons.",7.523528,/fT5b16eeBcroK6OhsmxYPTv36gQ.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'The Kushner-Locke Company', 'id': 2499}, {'name': 'Savoy Pictures', 'id': 11308}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-07-26,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,A new angle on the classic tale... And that's no lie!,The Adventures of Pinocchio,False,5.0,55.0
False,,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",http://www.normofthenorth.movie,276905,tt1594972,en,Norm of the North,"The stereoscopic 3D animated family film ""Norm"" tells the story of the titular polar bear and his three Arctic lemming buddies, who are forced out into the world once their icy home begins melting and breaking apart. Landing in New York, Norm begins life anew as a performing corporate mascot, only to discover that his new employers are directly responsible for the destruction of his polar home.",7.008103,/qv09dxeJoNQIbalsl47yObGgcc5.jpg,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Splash Entertainment', 'id': 67327}, {'name': 'Telegael', 'id': 72280}, {'name': 'Assemblage Entertainment', 'id': 72281}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'IN', 'name': 'India'}]",2016-01-14,17062499.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Bear to be different,Norm of the North,False,4.1,124.0
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,56391,tt0098259,ru,Приключения пингвинёнка Лоло,"Scamper is a little penguin who loves wandering around the Artic where he lives with his parents. Unfortunately his little adventures tend to get he, and his friend Snowflake into trouble, especially when he disobeys his father and goes exploring with seagulls who want to eat him flying above, and men and dogs on the ground with them. One day the adventure goes too far and they float out to sea, only to be caught by men who want to sell them to the zoo. Scamper, Snowflake and their new friend, a macaroni penguin named Louie, must escape and get back to their families to warn them.",1.165088,/4C23RprpL88pPCr4JmDsUZw2wAA.jpg,"[{'name': 'Soyuzmultfilm', 'id': 14599}, {'name': 'Life Work Corporation', 'id': 84598}, {'name': 'Aist Corporation', 'id': 84599}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]",1987-06-26,0.0,76.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,This Penguin Marches to a Different Tune.,The Adventures of Scamper the Penguin,False,6.3,7.0
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",http://www.anina.com.uy/,180644,tt1947964,es,Anina,"Anina Yatay Salas is a ten-year-old whose name spells trouble: those three palindromes in a row are an ongoing source of teasing at school. When a playground fight results in mysterious punishment, Anina will learn to put her problems in perspective and empathize with others in this sweet little daydream of a tale.",1.634427,/k3F4gxSmYUartkawKV6kUMN813I.jpg,"[{'name': 'ANTORCHA FILMS', 'id': 13450}, {'name': 'Rain Dogs Cine', 'id': 34171}, {'name': 'Palermo Estudio', 'id': 73170}]","[{'iso_3166_1': 'CO', 'name': 'Colombia'}, {'iso_3166_1': 'UY', 'name': 'Uruguay'}]",2013-02-12,0.0,78.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,There has never been a palindrome girl at the school before.,Anina,False,7.1,14.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,27281,tt0114048,en,Operation Dumbo Drop,"Five Green Berets stationed in Vietnam in 1968 grudgingly undertake the mission of a lifetime -- to secretly transport an 8,000-pound elephant through 200 miles of rough jungle terrain. High jinks prevail when Capt. Sam Cahill promises the Montagnard villagers of Dak Nhe that he'll replace their prized elephant in time for an important ritual. But for Capt. T.C. Doyle, the mission becomes a jumbo-sized headache!",4.357971,/rHOyYYMSxMUcKFvX1qgV0wcpjf8.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-07-28,0.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]",Released,A Top-Secret Mission Of Gigantic Proportions!,Operation Dumbo Drop,False,4.7,37.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,26261,tt0109480,en,Cops & Robbersons,"Hard-as-nails cop Jake Stone moves in with the Robbersons so he can watch a hitman who has moved in next door. The Hitman is one thing, but can you survive the Robberson family.",7.042878,/wnkWgFU5UcLwbExCp1YtCg5Ox4E.jpg,"[{'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-04-15,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Cops & Robbersons,False,5.0,36.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",,393196,tt0491722,en,Meet The Santas,"Because she is marrying the man who assumed the mantle of Santa Claus last December 26, Beth's postponed wedding has to be rescheduled for Xmas eve. Overwhelmed by selling the house she and her son share and the prospect of the duties of Mrs. Claus, she has to call on her estranged socialite Grinch of a mother to arrange the wedding. Of course her mom has never met the fiancé nor his family and has no inkling of his secret. This is a sequel to 2004's Single Santa Seeks Mrs. Claus.",0.455228,/pDp9MuBZz8uq3HPLZOsPXBgOXCN.jpg,"[{'name': 'Larry Levinson Productions', 'id': 3282}, {'name': 'Alpine Medien Productions', 'id': 3693}, {'name': 'Hallmark Entertainment', 'id': 4056}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-12-17,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Meet The Santas,False,4.2,5.0
False,,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,15487,tt0388980,en,The Greatest Game Ever Played,"A biopic of 20-year-old Francis Ouimet who defeated his golfing idol and 1900 US Open Champion, Harry Vardon.",6.969342,/qn0AtESY7e5EgzYxmOZU5UeirEH.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-09-30,15431177.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Based on a True Story,The Greatest Game Ever Played,False,6.9,112.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,52474,tt1653874,fr,Je vous aime très beaucoup,"When the mother they have never known dies, three half brothers aged 8, 15 and 17 respectively, who were all brought up in different ways, meet for the very first time. They spend the long summer holidays with Nonna, their grandmother, and start sharing secrets and rabbits, polenta and mean tricks, adventures and first time experiences, together. At last their once solitary lives take a new direction.",0.407816,/cGVCawZTtICMeS0FbKOeJW0cMvM.jpg,"[{'name': 'Mazel Productions', 'id': 47347}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2010-11-10,0.0,91.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,I Love You Very Much,False,6.6,4.0
False,"{'id': 19160, 'name': 'FernGully Collection', 'poster_path': '/vXxfiihxZDd4M3EYYvEaXcHsab2.jpg', 'backdrop_path': '/eWikaqHnqLYtCh7pkBeZY3Y5QSm.jpg'}",0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",,13225,tt0104254,en,FernGully: The Last Rainforest,"When a sprite named Crysta shrinks a human boy, Zak, down to her size, he vows to help the magical fairy folk stop a greedy logging company from destroying their home, the pristine rainforest known as FernGully. Zak and his new friends fight to defend FernGully from lumberjacks -- and the vengeful spirit they accidentally unleash after chopping down a magic tree.",7.477944,/gU2TbLTJ2s0aL5OsPuYQgZR8y3A.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Kroyer Films', 'id': 47154}, {'name': 'Youngheart Productions', 'id': 81129}, {'name': 'FAI Films', 'id': 81130}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-04-10,32710894.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Do you believe in humans?,FernGully: The Last Rainforest,False,6.1,155.0
