adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",,29020,tt0034870,en,Horton Hatches the Egg,"Horton the elephant agrees to watch over lazy Maisie bird's egg while she vacations. Much later, after...",0.947284,/ffeEI2X6aqJRiG8RscPux4IV2vn.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Leon Schlesinger Studios', 'id': 8298}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1942-04-11,0.0,10.0,[],Released,,Horton Hatches the Egg,False,7.0,3.0
False,"{'id': 458017, 'name': 'Tom and Jerry Collection', 'poster_path': '/yBLkGyOVYN9yaQFVlRNnQapOMFQ.jpg', 'backdrop_path': '/hJuGS7kqaNxdHHDMEuof2GamCcK.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,199753,tt3108584,en,Tom and Jerry's Giant Adventure,"Tom And Jerry are among the last animals living in Storybook Town, a fairy tale-inspired theme park ""where dreams come true, if you believe.""",4.342685,/qDyuhGMOcONMKvfIZn0bCoylYHk.jpg,"[{'name': 'Warner Bros. Home Video', 'id': 5173}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-08-04,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Tom and Jerry's Giant Adventure,False,4.8,22.0
False,"{'id': 198987, 'name': 'Winnie-the-Pooh (Russian)', 'poster_path': '/6hY1kuEhzcnxo4YHqB6QZPt3MKB.jpg', 'backdrop_path': '/vsHksV4Gup4p0VPPXMIKygR8utt.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,36163,tt0211730,ru,Винни-Пух идет в гости,This was the second of the Russian Winnie the Pooh series. This one had Pooh and Piglet visiting Rabbit for a meal with honey.,2.082421,/qjwKrVcsZZNdWzkV8e3XgVK8hvj.jpg,"[{'name': 'Soyuzmultfilm', 'id': 14599}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1971-01-01,0.0,10.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Winnie-the-Pooh Goes Visiting,False,6.9,20.0
False,"{'id': 8783, 'name': 'Fievel Collection', 'poster_path': '/spEFy5eHaNuINNHhwtCWKy1bBiY.jpg', 'backdrop_path': None}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,10380,tt0101329,en,An American Tail: Fievel Goes West,"Some time after the Mousekewitz's have settled in America, they find that they are still having problems with the threat of cats. That makes them eager to try another home out in the west, where they are promised that mice and cats live in peace. Unfortunately, the one making this claim is an oily con artist named Cat R. Waul who is intent on his own sinister plan.",8.800701,/gmqgrnENRE2xO1wtK9kBJZrWLYb.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-11-21,40766041.0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Look out pardners, there's a new mouse in town!",An American Tail: Fievel Goes West,False,6.2,180.0
False,"{'id': 23240, 'name': 'The Garden of Sinners', 'poster_path': '/d7aiLYwivuSimHuDru4wfrmb9O8.jpg', 'backdrop_path': '/sluEcYhQPGweluu4uS0yDpKik10.jpg'}",0,"[{'id': 16, 'name': 'Animation'}]",http://www.karanokyoukai.com,23154,tt1233474,ja,劇場版「空の境界」第四章 伽藍の洞,"June 1998: After spending two years in a coma caused by a traffic accident, Shiki Ryougi awakens with amnesia. She is visited by Touko Aozaki, a wizard and proprietor of a studio called Garan no Dou. Shiki has lost not only the memory of her accident, but also any real sense that she's even alive. Strangely, enigmatic beings begin to attack her...",1.383098,/3ce94mkodU2pEI5acziuCyZJGd1.jpg,"[{'name': 'ufotable', 'id': 5887}, {'name': 'TYPE-MOON', 'id': 53787}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2008-05-24,0.0,46.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,The Garden of Sinners - Chapter 4: The Hollow Shrine,False,7.2,14.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",http://www.dragonlance-movie.com/,17031,tt0825245,en,Dragonlance: Dragons Of Autumn Twilight,"After five years apart, searching the world of Krynn for proof of the existence of the true gods, a group of adventurers reach their goal in the form of a barbarian woman carrying a miraculous blue crystal staff. Soon they are thrust into war as an army of dragons overtakes their homeland.",2.083647,/z7cZEA88ahdAC2kQbzO06fW3rWZ.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-01-15,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The heroes of Krynn take a stand against evil!,Dragonlance: Dragons Of Autumn Twilight,False,5.2,11.0
False,"{'id': 169851, 'name': 'The ChubbChubbs Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.sonypictures.com/movies/chubbchubbs/,27042,tt0331218,en,The ChubbChubbs!,A janitor at an alien night-club gets his wish to be a singer.,1.859321,/jRQ71cxYN2VfOApf2VS96vFPJI0.png,"[{'name': 'Sony Picture Imageworks', 'id': 4627}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-07-03,0.0,5.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The ChubbChubbs!,False,6.6,20.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,15370,tt0347618,ja,猫の恩返し,"Haru, a schoolgirl bored by her ordinary routine, saves the life of an unusual cat and suddenly her world is transformed beyond anything she ever imagined. The Cat King rewards her good deed with a flurry of presents, including a very shocking proposal of marriage to his son! Haru embarks on an unexpected journey to the Kingdom of Cats where her eyes are opened to a whole other world.",11.639023,/liASKLjYzk6aJ4GbQDlfYfQk02h.jpg,"[{'name': 'Studio Ghibli', 'id': 10342}, {'name': 'Hakuhodo DY Media Partners', 'id': 11846}, {'name': 'Mitsubishi', 'id': 11847}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2002-07-19,522911.0,75.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,"It’s not so bad being a cat, now is it?",The Cat Returns,False,7.2,364.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}]",,61901,tt1374990,fr,The Prodigies,"NYC, Central Park, 2010. Five young teenagers are violently assaulted. But they’re not your average teenagers… they’re prodigies. The trauma of the assault incites them to lash out against the world in a cold and calculating way. The five chillingly brilliant minds come together to concoct a perfect revenge. The only person aware of the pending doom is Jimbo Farrar, a sixth prodigy, who has gathered them. As long as he fights against his five counterparts with all his might, there’s hope for the world. But should he turn over to their side, it’s only a matter of time before a disaster of apocalyptic proportions ensues…",2.549224,/VQzlaI1r6Q1qrtXylHW0dtygbs.jpg,"[{'name': 'Onyx Films', 'id': 2203}, {'name': 'Fidélité Films', 'id': 2927}, {'name': 'Scope Pictures', 'id': 11199}, {'name': 'Studio 37', 'id': 22770}, {'name': 'Luxanimation', 'id': 31374}]","[{'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2011-06-07,0.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Prodigies,False,5.6,47.0
False,"{'id': 444485, 'name': 'Death Note Relight', 'poster_path': '/swxUGe55tVS1062PGl5EB9kC31r.jpg', 'backdrop_path': '/2abUXXiJMGR2ujiLMDOEbM563mR.jpg'}",0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 53, 'name': 'Thriller'}, {'id': 16, 'name': 'Animation'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",http://www.ntv.co.jp/deathnote/,68555,tt3355698,ja,DEATH NOTE リライト2 Lを継ぐ者,After the events of the first movie Yagami Light faces two new adversaries as he is trying to create a perfect world without crime or criminals. This movie continues the first tv special and is a summary of the last 12 episodes of the tv anime,0.635941,/lC3D2vI1XXCllaREJ8bwYPB5IGI.jpg,[],[],2009-10-07,0.0,130.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Death Note Relight 2: L's Successors,False,7.2,17.0
