adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]",,8691,tt0082700,en,Cannibal Ferox,"Three friends out to disprove cannibalism meet two men on the run who tortured and enslaved a cannibal tribe to find emeralds, and now the tribe is out for revenge.",2.767334,/3yU2sIYCdaEvnTj8KH0nHzO2ptF.jpg,"[{'name': 'Dania Film', 'id': 1701}, {'name': 'National Cinematografica', 'id': 2185}, {'name': 'Medusa Distribuzione', 'id': 15868}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1981-04-24,0.0,93.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Banned in 31 countries!,Cannibal Ferox,False,5.3,61.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,89551,tt0039231,en,Bush Christmas,"In Australia, five children pursue horse thieves through the mountains.",0.249638,/ax7r9uUyJ6GRkBwnw3mEIndIlrn.jpg,"[{'name': 'Ralph Smart Productions', 'id': 84007}, {'name': 'GB Instructional Films', 'id': 84008}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1947-07-28,0.0,77.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Four children... Three horse thieves... One amazing adventure!,Bush Christmas,False,6.0,5.0
False,"{'id': 115570, 'name': 'Star Trek: The Next Generation Collection', 'poster_path': '/sddV6vaUC6x37icJS3opIXTXB07.jpg', 'backdrop_path': '/r7MMQenUURHhAVHFymtOb8AX4Bm.jpg'}",46000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",http://www.startrek.com/startrek/view/series/MOV/008/index.html,199,tt0117731,en,Star Trek: First Contact,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",8.808497,/qhVB8eUGwkdVvd8Fezk0AgcMPDH.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Digital Image Associates', 'id': 76068}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-11-21,150000000.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Resistance is futile.,Star Trek: First Contact,False,7.0,671.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",,160793,tt0040500,en,Jungle Goddess,"When a plane carrying the daughter of a millionaire crashes in an African jungle, two pilots set out to collect the reward. They discover that she has become the goddess of a primitive tribe. An insurgent witch doctor and fierce wild animals make escape from the jungle difficult for the trio.",0.225008,/3POPFDtqWs0dPgwc01ysKar2VIa.jpg,"[{'name': 'Lippert Pictures', 'id': 4946}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1948-08-13,0.0,62.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Jungle Goddess,False,2.5,2.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,4460,tt0045162,en,The Snows of Kilimanjaro,Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilimanjaro.,1.799027,/s4Fg4d9iGKeMrWfpmd8lnOToqsN.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1952-08-18,0.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,His Adventures . . . Like His Loves . . . Were Great and Exciting !,The Snows of Kilimanjaro,False,6.1,18.0
False,"{'id': 414000, 'name': 'Omae Umasou Da na', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",http://www.poplar.co.jp/special/umasou/,89825,tt1734113,ja,おまえうまそうだな,"You Are Umasou adapts Tatsuya Miyanishi's popular picture book about a Tyrannosaurus who comes across an Ankylosaurus baby all by himself and says, ""Gaō! Omae Umasou Dana"" (""Rawr! You look delicious."") Despite initially wanting to eat the baby Ankylosaurus, the Tyrannosaurus ends up adopting ""Umasou"" as his own.",0.772307,/wnEtkFx3ULJxq0v4nq5mo3q9HSN.jpg,"[{'name': 'Asia-Do', 'id': 55805}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2010-10-15,0.0,89.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,You Look Delicious!,You Are Umasou,False,7.0,10.0
False,,38000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.facebook.com/5thWaveMovie/,299687,tt2304933,en,The 5th Wave,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,10.788263,/cgxEscv6TQRK6a514FwuJOjcqQ5.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'GK Films', 'id': 3281}, {'name': 'Material Pictures', 'id': 12139}, {'name': 'LStar Capital', 'id': 34034}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-01-14,109906372.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Protect Your Own,The 5th Wave,False,5.6,1993.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",http://badnightmovie.com/,348499,tt4437046,en,Bad Night,"When Kate and Abby are mistaken for famous art thieves, their fun night out quickly goes from good to bad.",2.278038,/hrxbgEkeZZxMvMA8sdbcLKtu7FW.jpg,"[{'name': 'GRB Entertainment', 'id': 26189}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-07-21,0.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Bad Night,False,4.9,15.0
False,"{'id': 458017, 'name': 'Tom and Jerry Collection', 'poster_path': '/yBLkGyOVYN9yaQFVlRNnQapOMFQ.jpg', 'backdrop_path': '/hJuGS7kqaNxdHHDMEuof2GamCcK.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]","http://www.wbshop.com/Tom-and-Jerry-Meet-Sherlock-Holmes/1000116423,default,pd.html",43956,tt1722638,en,Tom and Jerry Meet Sherlock Holmes,"Tom and Jerry need to learn to work together in order to help Sherlock Holmes with an investigation of a jewel theft. But still, they are cat and mouse!",2.149829,/60I8ZYmqnPxWYV3VORGreyPScDn.jpg,"[{'name': 'Warner Home Video', 'id': 2786}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-08-24,0.0,49.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,Tom and Jerry Meet Sherlock Holmes,False,7.3,7.0
False,,0,"[{'id': 12, 'name': 'Adventure'}]",,286873,tt2290553,en,Northmen: A Viking Saga,A band of Vikings cross enemy lines and a panicked race begins. The losers will pay with their lives.,16.388563,/f5UBaGIzLtPAToCePAqzPeEGbQg.jpg,"[{'name': 'Jumping Horse Film', 'id': 24143}, {'name': 'Elite Filmproduktion', 'id': 37888}, {'name': 'Two Oceans Production (TOP)', 'id': 60227}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2014-09-27,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's No Time To Bleed,Northmen: A Viking Saga,False,5.3,127.0
