adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",http://www.dasvidaniya.in/,14751,tt1288638,hi,Dasvidaniya,"A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die.",0.767683,/4LEFd5YK3F3p1qhVBX219kZ9jXV.jpg,"[{'name': 'Lemon Tea Productions', 'id': 3188}]","[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'TH', 'name': 'Thailand'}]",2008-11-07,0.0,117.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,The Best Goodbye Ever,Dasvidaniya,False,7.0,6.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 10769, 'name': 'Foreign'}]",,115905,tt1808221,hi,Kaalo,"Kaalo is a Hindi horror film, directed by Wilson Louis and produced by Yash Patnaik, Mamta Patnaik and Dhaval Gada. The film was released on 17 December 2010 under the Beyond Dreams Entertainment Ltd. banner. It Is loosely based on the 1990 American science fiction horror comedy film Tremors",0.077685,/wMyvt2AfvjMaip8eQHkS98p1tTa.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2010-12-17,0.0,0.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Kaalo,False,2.8,2.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 10769, 'name': 'Foreign'}]",,54858,tt0122029,cn,天殘地缺,"Two men skilled in the arts of Kung-Fu are betrayed by their master and crippled for life, one left with no arms and the other with no legs. Despite their obvious disadvantages, they learn to combine their martial arts skills and seek revenge against the evil master.",0.512085,/2ocggkYqBYJIw9Ksv17ADrMtHk7.jpg,[],[],1979-12-31,0.0,90.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,,The Crippled Masters,False,4.8,8.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 10769, 'name': 'Foreign'}]",,92751,tt0074829,it,La lupa mannara,A woman has dreams that she is a werewolf so she goes out and finds men. She proceeds to have sex with them and then rip their throats out with her teeth. She eventually falls in love but then she is raped and her lover is murdered so she goes out for revenge.,1.428941,/8gOlFoqUu3ycTtxkEtYqymVLGew.jpg,"[{'name': 'Dialchi Film', 'id': 16131}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1976-03-18,0.0,98.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,A true story so brutal and horrifying it was kept from the public for over a century!,Werewolf Woman,False,5.1,7.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",,91237,tt1337034,ko,Woetoli,A student becomes a recluse in response to her best friend's suicide and locks herself in her room. She believes that someone is in the room with her. Her alarmed family hires a psychologist to intervene.,0.252091,/ivhuCvIZK7CN4COCQ13yzbYJpQu.jpg,[],"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2008-09-18,0.0,117.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Loner,False,5.0,7.0
False,,0,"[{'id': 10769, 'name': 'Foreign'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,42467,tt0070847,en,Tüzoltó utca 25.,"On one hot summer night, the residents of a Hungarian apartment house slated for demolition restlessly revisit their haunted pasts as they face an uncertain future. In a gently turning kaleidoscope of dream imagery, regret-laden nostalgia and painstakingly intimate detail, the looming wrecking ball pales in significance to the accumulated experiences each dreamer revisits. Pre-war prejudice, occupying Nazis and Stalinist deprivations all come and go as each tenant’s backward glance yields moments of aching sensuality, infectious exuberance and catastrophic loss.",0.00022,/d2iMXe5Hq5qS3I4asXb5uXKT4Vf.jpg,[],"[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1973-09-27,0.0,97.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}]",Rumored,,25 Fireman's Street,False,5.0,1.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,9098,tt0116164,de,Echte Kerle,"Christoph, cop and self-confident macho, has trouble with his fiance. After a long night he wakes up in the arms of Edgar, a good-looking, gay auto-mechanic. His live gets more and more troublesome after his girl friend throws him out of their apartment and as last resort he moves to Edgars place. Working together with a new, good-looking, very self-confident, female collegue, but living with a good-looking gay guy makes him pretty uncertain about his sexuality and his role as a cop. Written by Konstantin Articus",1.165202,/tPU3Qif3wRMOCEpdVMP3NKTvuQx.jpg,"[{'name': 'TLA Releasing', 'id': 328}, {'name': 'Cobra Film', 'id': 2572}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1996-05-30,0.0,100.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Macho cop finds himself in a relationship with a gay man and questions his life. German.,Regular Guys,False,5.2,9.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",,42495,tt0067306,en,King Lear,"King Lear, old and tired, divides his kingdom among his daughters, giving great importance to their protestations of love for him. When Cordelia, youngest and most honest, refuses to idly flatter the old man in return for favor, he banishes her and turns for support to his remaining daughters. But Goneril and Regan have no love for him and instead plot to take all his power from him. In a parallel, Lear's loyal courtier Gloucester favors his illegitimate son Edmund after being told lies about his faithful son Edgar. Madness and tragedy befall both ill-starred fathers.",0.187901,/xuE1IlUCohbxMY0fiqKTT6d013n.jpg,"[{'name': 'Royal Shakespeare Company', 'id': 5845}, {'name': 'Laterna Film', 'id': 24737}, {'name': 'Athena Film A/S', 'id': 51549}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1971-02-04,0.0,137.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Rumored,,King Lear,False,8.0,3.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,31407,tt0082755,pl,Miś.,"The main character, nicknamed ""Teddy Bear"" by his friends and acquaintances, is a manager of a sports club in Poland. One day he is detained at the border just as his sport team is off to a tournament. It appears that somebody has torn out a few pages from his passport. It occurs to him that perhaps his ex-wife has done it in order to get her hands on their joint account in a London bank. Therefore, he has to get to London as soon as possible in order to transfer the money to a different bank. The solution is taking part in a movie, made by his friend. The script requires a double role, thus the search for another actor is announced. The double has to apply for the passport, and that is solved through a girlfriend who agrees to play the dope's new fiancée. At the engagement party he is slipped a drug, and Teddy Bear runs off to the airport with the false passport. On the plane, however, he meets his ex-wife...",0.759427,/A7MJqldpHGjWVl5ocWLC1m9IRrM.jpg,"[{'name': 'Zespol Filmowy ""Perspektywa""', 'id': 46568}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",1981-05-04,0.0,110.0,"[{'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Teddy Bear,False,7.8,12.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",,4628,tt0083891,en,Enigma,"Five highly-trained KGB agents are sent to the west to assassinate several Soviet dissidents. In order to stop the diabolical plot, an American agent must infiltrate Soviet intelligence and obtain information from a Russian computer.",0.778734,/34kkb2QFPIbDv2KhqY0FwtR5Q4F.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1983-01-28,0.0,122.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Enigma,False,5.8,5.0
