adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}, {'id': 10769, 'name': 'Foreign'}]",,117520,tt0260713,en,Tout près des étoiles: Les danseurs de l'Opéra de Paris,"ETOILES: DANCERS OF THE PARIS OPERA BALLET celebrates the legacy one of the best ballet companies in the world by weaving together rehearsals, tour snapshots and performances of classical ballets such as Swan Lake and La Sylphide, as well as contemporary works such as Maurice Bejart's Ninth Symphony, Jiri Kylian's Doux Mensonge (Sweet Lies) and Pierre Darde's Orison. Celebrated filmmaker Nils Tavernier endeavors to understand the psychology of dance by talking candidly with some of the biggest stars in dance today. The film also features interviews with the dancers who explain how and why they endure the emotional and physical hardships of their profession in their intense drive to be on stage.",0.001662,/yG8smtBMGLbxgYrTRhVD7wX2YTb.jpg,[],[],2001-03-14,0.0,100.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Etoiles: Dancers of the Paris Opera Ballet,False,0.0,0.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.allthispanic.com/,385761,tt5590718,en,All This Panic,"Shot over a three-year period with unparalleled intimacy and access, ALL THIS PANIC is a feature length documentary that takes an intimate look at the interior lives of a group of teenage girls as they come of age in Brooklyn. A potent mix of vivid portraiture and vérité, we follow the girls as they navigate the ephemeral and fleeting transition between childhood and adulthood.",0.105984,/ucR8AKvGuhLzs2KvkgKYIwuu6Fy.jpg,"[{'name': 'dogwoof films', 'id': 8191}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-03-31,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,All This Panic,False,0.0,0.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://gideonsarmythefilm.com/,159005,tt2179053,en,Gideon's Army,"Follows three young, committed Public Defenders who are dedicated to working for the people society would rather forget. Long hours, low pay and staggering caseloads are so common that even the most committed often give up.",0.223415,/kdODS3AySYCMgBCGfRgrMwG3jeR.jpg,"[{'name': 'HBO Documentary', 'id': 14914}]",[],2013-01-21,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Everyone deserves the best defense. They fight to provide it.,Gideon's Army,False,6.2,6.0
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10752, 'name': 'War'}]",,47197,tt0031575,en,The Lion Has Wings,"This early, influential propaganda film blends documentary and studio footage to show the valiant efforts of the Royal Air Force to defend the British people against the Nazis.",0.049691,/w7q1tQdqq7JKItpOSUs4ML1yonb.jpg,"[{'name': 'London Film Productions', 'id': 659}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1939-11-03,0.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Lion Has Wings,False,3.0,1.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.littlehopewasarson.com/,231263,tt2549138,en,Little Hope Was Arson,"January 2010: In the buckle of the Bible Belt, 10 churches burn to the ground in just over a month igniting the largest criminal investigation in East Texas history. No stone is left unturned and even Satan himself is considered a suspect in this gripping investigation of a community terrorized from the inside-out. Families are torn apart and communities of faith struggle with forgiveness and justice in this incredible true story.",0.201735,/n4zTYV2wLpwHqZ8Y5xWThOAQiKK.jpg,"[{'name': 'The Orchard', 'id': 9286}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-10-19,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The only church that illuminates is a burning church.,Little Hope Was Arson,False,5.6,5.0
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,37640,tt0095515,en,Let's Get Lost,"Documentary about jazz great Chet Baker that intercuts footage from the 1950s, when he was part of West Coast Cool, and from his last years. We see the young Baker, he of the beautiful face, in California and in Italy, where he appeared in at least one movie and at least one jail cell (for drug possession). And, we see the aged Baker, detached, indifferent, his face a ruin. Includes interviews with his children and ex-wife, women companions, and musicians.",0.081978,/7TcyTa3JvfS2R9AJ9IVbJRIm3vu.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-09-15,0.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Let's Get Lost,False,7.6,10.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,49477,tt0192069,en,Gendernauts: A Journey Through Shifting Identities,"Monika Treut explores the worlds and thoughts of several female to male transgendered individuals. As with Treuts first film, Jungfrauenmaschine, Gendernauts, enters a minority sector of San Fransisco culture. The characters in this film have a lot to complain about, and they do. They are people whose physical appearance (female) does not match their inner sexual identity (male). The subject is pinpointed in the film independant of sexual orientation. Leave your conservative hats at the door, this is going to need your special attention.",0.073744,/a1ZzZfeIkHwqS0ky9sUa1NkUZV2.jpg,[],[],1999-06-12,0.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Gendernauts: A Journey Through Shifting Identities,False,10.0,2.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.walmartmovie.com/,29595,tt0473107,en,Wal-Mart: The High Cost of Low Price,"This documentary takes the viewer on a deeply personal journey into the everyday lives of families struggling to fight Goliath. From a family business owner in the Midwest to a preacher in California, from workers in Florida to a poet in Mexico, dozens of film crews on three continents bring the intensely personal stories of an assault on families and American values.",1.977106,/6jh2yA236Dh6TX7hya0qbrnAQtK.jpg,"[{'name': 'Brave New Films', 'id': 4971}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-11-04,0.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Wal-Mart: The High Cost of Low Price,False,6.9,24.0
False,,200000,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,289519,tt2194492,en,Blues Story,"Blues Story presents an impressionistic history of one of the most lasting art forms America has ever produced - as told for the first time through the eyes of the artists who lived it. Combining exclusive interview and performance footage with vintage clips and the music of many Blues legends long gone, the history of this richly felt music is illuminated - from its African roots to its American urban expression - along with its profound place in our cultural heritage. The result is a rare, first-hand glimpse into the lives of these vanishing artists, and a moving, insightful and informative look into a music that continues to be loved by millions throughout the world.",0.111754,/lHgskPCioTe8fkRzTqL5IlQSQBc.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-11-01,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Blues Story,False,4.0,2.0
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",http://www.ruedigersuenner.de/schwarze%20sonne.html,194126,tt0166791,en,Schwarze Sonne: Mythologische Hintergründe des Nationalsozialismus,"A historical analysis of how groups such as the Nazi’s may use language, symbols, and religious connotation in order to come to power. It raises questions that deserve in depth analysis and consideration. Questions include: Where do legends expand our thinking and where do they bury it? When does spiritual pursuit suddenly turn into fanaticism and violence? Last, have we as a society learned from our past, and if so have forgotten the lessons of the 20th Century? Are we now embarking on a new level only to learn the same old lessons about humanity again?  In addressing these questions we are taken into the back drop of the history of Germany beginning in the late 1800’s through the late 20th Century at the eve of the 21st.  “A society that does not take archetypes, myths, and symbols seriously will possibly be jumped by them from behind.”",0.660482,/fMBXscyjGA4fX3fFD06RazKermP.jpg,"[{'name': 'Elisabeth Müller Filmproduktion', 'id': 32981}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1998-01-01,0.0,90.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Places of worship and esotericism of the Third Reich,Black Sun: The Mythological Background of National Socialism,False,6.0,1.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,65435,tt1337599,en,Consuming Kids: The Commercialization of Childhood,"Consuming Kids throws desperately needed light on the practices of a relentless multi-billion dollar marketing machine that now sells kids and their parents everything from junk food and violent video games to bogus educational products and the family car. Drawing on the insights of health care professionals, children's advocates, and industry insiders, the film focuses on the explosive growth of child marketing in the wake of deregulation, showing how youth marketers have used the latest advances in psychology, anthropology, and neuroscience to transform American children into one of the most powerful and profitable consumer demographics in the world. Consuming Kids pushes back against the wholesale commercialization of childhood, raising urgent questions about the ethics of children's marketing and its impact on the health and well-being of kids.",0.180931,/afsASfCZhkZWvm3wcKo4iIlnRu2.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-12-31,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Consuming Kids: The Commercialization of Childhood,False,7.6,5.0
