adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,42000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",http://www.redridinghoodmovie.com/,49730,tt1486185,en,Red Riding Hood,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man – who is wealthy. Unwilling to lose each other, Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon, to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.",10.174298,/btUc7lekzeRjEFzxhKwW0l3kdJn.jpg,"[{'name': 'Appian Way', 'id': 562}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Random Films', 'id': 7262}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-03-11,89162162.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Who's afraid?,Red Riding Hood,False,5.7,958.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]",,357851,tt3699372,de,Let Me Make You a Martyr,"A cerebral revenge film about two adopted siblings who fall in love, and hatch a plan to kill their abusive father.",2.224423,/AjtdZc2CIdOeTElbvvC8Dh3z980.jpg,"[{'name': 'Actium Pictures', 'id': 62457}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-07-22,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Let Me Make You a Martyr,False,6.1,11.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://laslashermovie.com/,323792,tt2735292,en,L.A. Slasher,"Incensed by the tabloid culture which celebrates it, the L.A. Slasher publicly abducts a series of reality TV stars, while the media and general public in turn begin to question if society is better off without them. A biting, social satire about reality TV and the glorification of people who are famous for simply being famous, ""L.A. Slasher"" explores why it has become acceptable and even admirable for people to become influential and wealthy based on no merit or talent - purely through notoriety achieved through shameful behavior.",1.208879,/iaoJ7nJ8ZV6g3f8wLQQ8tWCYqKS.jpg,"[{'name': 'JJS Films', 'id': 69619}, {'name': 'JWright Productions', 'id': 69620}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-06-12,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Death to Reality TV,L.A. Slasher,False,3.7,10.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",http://www.branduponthebrain.com/,27359,tt0443455,en,Brand Upon the Brain! A Remembrance in 12 Chapters,"Together with his teenage sister and a horde of orphans, young Guy Maddin lazes away his under-stimulated youth on the mysterious island he will someday inherit. In the lighthouse orphanage in which they all live, their every move is watched over by their overbearing and tyrannical mother while their father, a scientist and inventor, works away secretively in the basement. When new adoptive parents discover mysterious head wounds on their children, teen detectives Wendy and Chance Hale - brother and sister sleuths known as the ""Lightbulb Kids"" - visit the island to launch an investigation. As the investigation progresses, the kids are led into the darkest regions of revelation and repression as the terrible secrets of Guy's family are revealed.",1.547591,/24KOBal9gDaht01MGhCqSO3mxT6.jpg,"[{'name': 'The Film Company', 'id': 4674}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-05-09,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Brand Upon the Brain! A Remembrance in 12 Chapters,False,6.6,20.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",http://movies.disney.com/pom-poko,15283,tt0110008,ja,平成狸合戦ぽんぽこ,"The Raccoons of the Tama Hills are being forced from their homes by the rapid development of houses and shopping malls. As it becomes harder to find food and shelter, they decide to band together and fight back. The Raccoons practice and perfect the ancient art of transformation until they are even able to appear as humans in hilarious circumstances.",9.607155,/xbpD0l4Y4DKVMc3LjsiSCE2sC5z.jpg,"[{'name': 'Studio Ghibli', 'id': 10342}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1994-07-16,0.0,119.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,A Fantastic Tale Of Survival,Pom Poko,False,7.2,177.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",,13318,tt0808185,no,Den brysomme mannen,"Forty-year-old Andreas arrives in a strange city with no memory of how he got there. He is presented with a job, an apartment - even a wife. But before long, Andreas notices that something is wrong. Andreas makes an attempt to escape the city, but he discovers there's no way out. Andreas meets Hugo, who has found a crack in a wall in his cellar. Beautiful music streams out from the crack. Maybe it leads to ""the other side""? A new plan for escape is hatched.",3.422864,/uBoT1iVPeMi1gkzIkFG2mpnhFZU.jpg,"[{'name': 'Sandrew Metronome Norge', 'id': 3667}]","[{'iso_3166_1': 'IS', 'name': 'Iceland'}, {'iso_3166_1': 'NO', 'name': 'Norway'}]",2006-05-26,0.0,90.0,"[{'iso_639_1': 'no', 'name': 'Norsk'}]",Released,,The Bothersome Man,False,6.9,68.0
False,"{'id': 453993, 'name': 'The Wolverine Collection', 'poster_path': '/8Ht4a5A5Ypxh0PjbVoRTzm1kAu3.jpg', 'backdrop_path': '/QtSxEuCwcZSfCTMZfER3nHDVsG.jpg'}",120000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",http://www.thewolverinemovie.com,76170,tt1430132,en,The Wolverine,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",3.918287,/iTST6DcLhfufWYUKCOskkusaYUq.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Marvel Entertainment', 'id': 7505}, {'name': 'Bad Hat Harry Productions', 'id': 9168}, {'name': 'Big Screen Productions', 'id': 10893}, {'name': 'TSG Entertainment', 'id': 22213}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-23,415440673.0,126.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When he's most vulnerable, he's most dangerous.",The Wolverine,False,6.3,4110.0
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",,24101,tt0075971,en,The Easter Bunny Is Comin' to Town,"The Mailman decides to stop another deluge of letters by answering questions about the Easter Bunny: Sunny, a baby rabbit found and adopted by Kidville (a town of only kids--even a kid mailman). And when Sunny goes delivering eggs to the nearby town (which he has to dye to fool Gadzooks, the mean bear on the mountain), he discovers that there are no kids in the town, and that the rightful (kid) ruler is being suppressed by his aunt. But the young king likes Sunny's dyed eggs and jelly beans. So Kidsville, with the help of an old train engine, makes a few plans (and a decoy chocolate rabbit) to distribute them.",0.90236,/4urcgZwv4WaalwEZfPdBV1FUY90.jpg,"[{'name': 'Rankin/Bass Productions', 'id': 688}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1977-04-06,0.0,50.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Easter Bunny Is Comin' to Town,False,5.5,2.0
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",,14776,tt0097531,en,How to Get Ahead in Advertising,"Dennis Dimbleby Bagley is a brilliant young advertising executive who can’t come up with a slogan to sell a revolutionary new pimple cream. His obsessive worrying affects not only his relationship with his wife, his friends and his boss, but also his own body—when he grows a large stress-related boil on his shoulder. But when the boil grows eyes and a mouth and starts talking.",4.485466,/jisOon6e01zJEtEKA6xX8Q98bNB.jpg,"[{'name': 'Virgin Films', 'id': 3150}, {'name': 'The Criterion Collection', 'id': 10932}, {'name': 'HandMade Films', 'id': 20076}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1989-05-05,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,How to Get Ahead in Advertising,False,6.4,29.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",http://www.sky1.co.uk/skellig/,17046,tt0382301,en,Skellig,"An ordinary boy named Michael is going through some extraordinary changes in his life. His family has just moved into an unfamiliar house, and his brand new baby sister has fallen ill. One day, while cleaning out the garden shed, he stumbles across something mysterious, a strange creature huddled in the corner; weak of body but strong of will. This is Skellig.",1.676894,/bVFtNKPcWPa1pWo952JIrXkL9nU.jpg,"[{'name': 'Feel Films', 'id': 3246}, {'name': 'Taking a Line for a Walk Productions', 'id': 3247}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2009-04-12,0.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,A Magical Story of an Unlikely Friendship,Skellig,False,4.6,10.0
