adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,56000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,16072,tt0279111,en,Gods and Generals,"The film centers mostly around the personal and professional life of Thomas ""Stonewall"" Jackson, a brilliant if eccentric Confederate general, from the outbreak of the American Civil War until its halfway point when Jackson is killed accidentally by his own soldiers in May 1863 during his greatest victory.",5.374563,/jodqsKcMfd31vqXHCosQ8joB5Hm.jpg,"[{'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Turner Pictures', 'id': 1765}, {'name': 'Antietam Filmworks', 'id': 17462}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-02-21,12923936.0,214.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The nations heart was touched by...,Gods and Generals,False,6.1,49.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://www.fluffer.com,17731,tt0245115,en,The Fluffer,Johnny Rebel is a charismatic heterosexual man who makes his living acting in gay porn. His live in girlfriend Babylon is a stripper so she understands the reality of working in the sex industry. Sean McGinnis doesnt. He is a 22-year-old kid who comes to Los Angeles to get into movies and gets sidetracked when he sees a Johnny Rebel video and becomes instantly obsessed. Sean becomes further drawn into the porn scene when he becomes a cameraman for Johnnys company and triggers off a series of events that will change all their lives forever.,1.138132,/5mxnapx9RBIAYnRr6vy0OPeYmD1.jpg,"[{'name': 'TLA Releasing', 'id': 328}, {'name': 'Fluff and Fold LLC', 'id': 3377}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-02-11,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Love is hard.,The Fluffer,False,5.4,15.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",,127808,tt0053582,en,All The Fine Young Cannibals,"Director Michael Anderson's glossy 1960 drama, about the professional and romantic problems of an aspiring jazz musician, stars Robert Wagner, Natalie Wood, Susan Kohner, George Hamilton, Pearl Bailey, Anne Seymour, Jack Mullaney, Onslow Stevens, Virginia Gregg, Mabel Albertson, Louise Beavers and Addison Richards.",0.315493,/mzqbO7YafiMo9pnkRedrZ7kck1O.jpg,[],[],1960-09-15,0.0,112.0,[],Released,,All The Fine Young Cannibals,False,4.5,2.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,3539,tt0412888,de,Kammerflimmern,,1.149831,/4D85xDXqwSq6mTDdX1ZowJ2jMT8.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2004-09-11,0.0,100.0,"[{'iso_639_1': 'tr', 'name': 'Türkçe'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Off Beat,False,6.5,16.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,82838,tt0049652,en,The Rack,"Captain Edward Hall returns to the USA after two years in a prison camp in the korean war. In the camp he was brainwashed and helped the Chinese convince the other prisoners that they were fighting an unjust war. When he comes back he is charged for collaboration with the enemy. Where does loyalty end in a prison camp, when the camp is a living hell?",1.088216,/raLhrAPz69bzaRqquRzebTt1Oam.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",[],1956-11-02,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Paul Newman, a wonderful new star!",The Rack,False,3.5,4.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,31353,tt0118834,fr,Ceux qui m'aiment prendront le train,"Friends of painter Jean-Baptiste Emmerich gather at a Paris railroad station for a four-hour journey to Limoges, where Emmerich wanted to be buried. The dozen travelers include art historian François and his lover Louis, who develops an interest in teenage Bruno. Traveling parallel with the train is a station wagon with Jean-Baptiste's body, and this vehicle is driven by Thierry, husband of Catherine, who's on the train with their daughter. François plays a taped interview with Jean-Baptiste, revealing his sexual appeal to both men and women. Lucie is convinced that she was his main love. Also on board is his nephew, Jean-Marie and Jean-Marie's estranged wife Claire. After the funeral in ""Europe's largest cemetery,"" the story continues in the mansion of Jean-Baptiste's brother Lucien.",1.156694,/fE0f8cRij3e36P5kFhiYGyA9xld.jpg,"[{'name': 'Téléma Productions', 'id': 885}, {'name': 'Canal+', 'id': 5358}, {'name': 'France2 Cinéma', 'id': 7089}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1998-05-15,0.0,122.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Those Who Love Me Can Take the Train,False,4.5,3.0
False,,20000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,8326,tt0311289,en,Holes,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.",17.193267,/88HeeiJ6Vgu329KCcFC4cEcicPr.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Chicago Pacific Entertainment', 'id': 2377}, {'name': 'Walden Media', 'id': 10221}, {'name': 'Phoenix Pictures', 'id': 11317}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-04-18,0.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some secrets are too big to keep hidden.,Holes,False,6.7,396.0
False,"{'id': 109082, 'name': 'Left Behind Collection', 'poster_path': '/x22nc44hxDESi7KTWRGdRFZ9kQ.jpg', 'backdrop_path': '/fumSgqob8LFVMb1zPssRYRLTcTC.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,38828,tt0443567,en,Left Behind III: World at War,"A year and a half ago the world was hit with the biggest catastrophe it had ever seen. Without warning and without explanation, hundreds of millions of people simply vanished off the face of the earth. The world was in chaos like it had never been before. Yet somehow one man seemed to rise to the challenge. One man had the strength and conviction to unite a shattered world. One man gave the world hope. That man was NICOLAE CARPATHIA. He now rules the entire world.",0.756699,/rixEZgwBn9YPmbz6Y41zBXNWFGI.jpg,[],[],2005-01-01,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Left Behind III: World at War,False,4.4,20.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,369697,tt4191702,en,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,A financial schemer finds himself in the middle of an international scandal after he becomes a political adviser to the new prime minister of Israel.,6.164534,/b5dVqHefhqvvN2MrLaNGnGlW7Sg.jpg,"[{'name': 'Lightstream Pictures', 'id': 22841}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-04-14,0.0,117.0,"[{'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,False,5.6,34.0
False,,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.brokebackmountain.com,142,tt0388795,en,Brokeback Mountain,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,11.787044,/z2DqVxj17aW6xpimRlCLfhKSfUm.jpg,"[{'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Alberta Film Entertainment', 'id': 3997}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Good Machine', 'id': 10565}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-09-02,178043761.0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Love is a force of nature.,Brokeback Mountain,False,7.5,1531.0
