adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 10517, 'name': 'Le Gendarme de St. Tropez Collection', 'poster_path': '/3B0YlcfBxJUFK37YTFCm2QPDAFX.jpg', 'backdrop_path': '/oSX3Aw5sRxPju4yMR14Hqaz86uR.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,10516,tt0079200,fr,Le gendarme et les extra-terrestres,"The bungling inspector Cruchot (Funès) finds himself trying to save the residents of St. Tropez from some oil-drinking humanoid aliens. The only way to tell the aliens from the real people, besides their constant thirst for oil-products, is that they sound like empty garbage cans when you touch them. Chaos is ahead.",5.73912,/kX4wWZ7NpdVhlY88ouTedLg2xV0.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1979-01-31,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Gendarme and the Creatures from Outer Space,False,6.1,97.0
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,113040,tt2196430,en,Alien Origin,"A movie created from ""found footage"" of a lost military expedition that exposes the origins of life on earth.",1.795246,/izl56YZUwt85rhA8fXPeZPw9qoe.jpg,[],[],2012-06-12,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Footage is Real. The Proof is Irrefutable.,Alien Origin,False,1.6,9.0
False,,9000000,"[{'id': 878, 'name': 'Science Fiction'}]",,8069,tt0062711,en,Barbarella,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.",14.304205,/fntrx2BzHkdSNFe5jkgP09XsK7g.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Dino de Laurentiis Cinematografica', 'id': 1216}, {'name': 'Marianne Productions', 'id': 1497}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1968-10-10,2500000.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,See Barbarella do her thing!,Barbarella,False,5.7,149.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",,321662,tt3312936,en,LA Apocalypse,"For 5 billion years the Earth's core has operated like a giant, nuclear reactor. Now it's overheated, melting down like a bomb that's about to explode. The earth is being ripped apart at the seams and beneath LA, pressure is building. After a mass evacuation, Calvin Crawford is one of few left, desperately searching for his fiancée, Ashley Pace, who unbeknownst to him, has been kidnapped and is being held hostage. With LA becoming more unstable by the minute, Calvin, must find a way to save Ashley and get them both to safety before the city is completely annihilated.",0.584916,/oX1IHsiG8OvVQIrOmLckBb03bWM.jpg,"[{'name': 'Cinetel Films', 'id': 10399}, {'name': 'Doomed Pictures', 'id': 91613}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-06-20,0.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,LA Apocalypse,False,4.7,15.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",,421725,tt6151810,en,Scrat: Spaced Out,"In the main events of Ice Age: Collision Course, Scrat is captured by Scratazons who take away his acorn. Now, Scrat must rescue his Acorn and escape before the aliens can catch him.",2.257459,/7jo0AZ9NjynVBAnb4DEIgilodT9.jpg,"[{'name': 'Blue Sky Studios', 'id': 9383}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-10-11,0.0,15.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Scrat: Spaced Out,False,6.9,14.0
False,,45000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",,7095,tt0116669,en,Jack,"Jack Powell suffers from an affliction that makes him grow four times faster than normal, so the 10-year-old looks like a 40-year-old man. After years of being tutored at home, Jack convinces his overprotective parents to send him to public school. The children don't know what to make of Jack, but with the help of his fifth-grade teacher, he makes an effort to win them over.",6.287245,/nOgHa5ggt6vbmIuoNW7exrJQJq9.jpg,"[{'name': 'American Zoetrope', 'id': 70}, {'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Great Oaks Entertainment', 'id': 2173}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-09,58620973.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!,Jack,False,5.9,340.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,103953,tt0210200,ja,大いなる幻影,"In a near future where allergies have become an epidemic, music producer Haru half-heartedly dates post office clerk and mail thief Michi. He searches for violent ways to reactivate his life, she dreams of escaping abroad; both volunteer to test a new drug which may provide a cure.",0.059715,/iIFn27lmidfRdHPoDcZJE3xeg3M.jpg,"[{'name': 'Japan Sky Way', 'id': 8386}, {'name': 'Eurospace', 'id': 75055}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1999-12-11,0.0,95.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Barren Illusion,False,6.0,1.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,73144,tt2034756,en,Portal: No Escape,A woman wakes up in a room with no memory of who she is or how she got there...,3.444679,/e8bRqOm0mjP2WQmwrR4cGYysBKF.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-08-23,0.0,7.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Portal: No Escape,False,7.0,38.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,29607,tt0093533,en,Miami Golem,"A Miami TV reporter is sent to a local university to do a story on a professor who is cloning a cell from DNA found inside a meteorite. Soon after the reporter leaves, a gunman kills everyone in the professor's lab and steals the cell for a wealthy businessman. When the reporter learns that he is targeted for assassination as well, he enlists the help of two scientists to discover who is behind the crimes, why they stole the cell, and whether or not the cell should be allowed to continue living.",0.325,/vJBDLAFXqRFlFzykJjHZc9KdM0Y.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1985-11-12,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Miami Golem,False,0.0,0.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,28955,tt0052805,en,First Man Into Space,"Once he was a handsome, fearless test pilot. ow he is a viscious, hideous love-killer. Did the deadly gamma rays do it? In this classic 50s sci-fi thriller, cocky all-american test pilot Dan Prescott disobeys orders and flies an experimental rocket 250 miles above the earth, thus becoming the first man into space.",1.343551,/7ZCo6gVLBhGf6vkntHr5q06m1t.jpg,"[{'name': 'Amalgamated Productions', 'id': 5077}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1959-02-01,0.0,77.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Far and away the most startling and unexpected adventure film ever made!,First Man Into Space,False,5.2,12.0
False,"{'id': 1709, 'name': 'Planet of the Apes Original Collection', 'poster_path': '/r7TBDEcpBAuFoqdtUz7z2nSeFej.jpg', 'backdrop_path': '/eYf3GRnuVCgeFQfEo0qK7ua5rCR.jpg'}",1700000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,1688,tt0068408,en,Conquest of the Planet of the Apes,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",12.843375,/wxanhJ9ZuZ05P4J2hkC1M1rA0dv.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'APJAC Productions', 'id': 12943}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1972-06-29,9700000.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!,Conquest of the Planet of the Apes,False,6.1,243.0
False,"{'id': 17149, 'name': '20th Century Boys Collection', 'poster_path': '/h72QJqH3zOkmNmhSuaKdL2Lxgp2.jpg', 'backdrop_path': '/4ROoowAJtDDXjPLILYYQilFdCGV.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.20thboysfilms.com/,39123,tt1181919,ja,20世紀少年 ぼくらの旗,"The final showdown, and the final reveal: who is Friend? How can he be stopped?",0.918276,/2mEtI7AjAaSp9bzKtEJwWoAd2ll.jpg,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2009-08-19,0.0,156.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,redemption,20th Century Boys - Chapter 3: Our Flag,False,6.8,16.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",,22976,tt0090729,en,Biggles,"Unassuming catering salesmen Jim Ferguson falls through a time hole to 1917 where he saves the life of dashing Royal Flying Corps pilot James ""Biggles"" Bigglesworth after his photo recon mission is shot down. Before he can work out what has happened, Jim is zapped back to the 1980s......",1.058656,/86xzclnxQn6BnyQrquwvug9m18p.jpg,"[{'name': 'Compact Yellowbill', 'id': 4162}, {'name': 'Tambarle', 'id': 4163}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-05-30,112132.0,108.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Fast food executive Jim Ferguson stepped out of his 47th floor office to go to the bathroom... and ended up in the middle of World War I. History will be grateful forever.,Biggles,False,5.1,18.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,77593,tt0078924,en,C.H.O.M.P.S.,"A young man invents a robot dog that has super strength, x-ray vision and can detect crimes being committed. A greedy businessman tries to steal the boy's invention from him.",0.009919,/dxRdZkP7iC19lZSBBb6wiatJPeq.jpg,"[{'name': 'Hanna-Barbera Productions', 'id': 1353}, {'name': 'American International Pictures (AIP)', 'id': 9266}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1979-12-21,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When it comes to home security, he's the top dog!",C.H.O.M.P.S.,False,3.5,3.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,71933,tt0089714,pl,"O-bi, o-ba: Koniec cywilizacji","Set in an underground dungeon inhabited by bundled, ragged human beings, after the nuclear holocaust. The story follows the wanderings of a hero through the situations of survival. People wait for the Ark to arrive and rescue them while their habitat falls apart.",0.010331,/dh44YerHWX6VCpBeN710LsXBuIN.jpg,"[{'name': 'Zespol Filmowy ""Perspektywa""', 'id': 46568}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",1985-06-28,0.0,85.0,"[{'iso_639_1': 'pl', 'name': 'Polski'}]",Released,The Arc does not exist,"O-Bi, O-Ba: The End of Civilization",False,6.4,7.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,214717,tt0118537,en,2103: The Deadly Wake,"Proxate Corporation recruits a boozy former ship captain and offers him a new identity: Sean Murdoch. His job: to take charge of large ship on one voyage. Once aboard, Murdoch realizes that the ship is a prison ship, and the cargo are criminally insane inmates. Murdoch's other problem: someone has planted bombs aboard the vessel. Murdoch's acrimonious relationship with the prison warden lends extra drama to the story.",0.108552,/hXoG9M5gDzEBATG7N9viPaLgPAj.jpg,[],[],1997-08-26,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In the future, tomorrow may never come",2103: The Deadly Wake,False,4.5,2.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,119592,tt0091631,en,Nightmare Weekend,"A female scientist performs experiments on three college girls that turn them into drooling, murderous mutants.",0.054964,/z0gwiY1fE1zOTw7cvLEar0Ou87i.jpg,[],[],1986-01-01,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Two Days And Nights Of Relentless Terror. Who Will Survive?,Nightmare Weekend,False,1.5,4.0
False,"{'id': 287016, 'name': ""Wong Kar-Wai's Informal Collection"", 'poster_path': '/fcGKAq9R8fjvXBhVhEds7SRDiWS.jpg', 'backdrop_path': None}",12000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",http://www.wkw2046.com/,844,tt0212712,zh,2046,"2046 is the sequel to Wong Kar-Wais’ successful box-office hit In The Mood For Love. A film about affairs, ending relationships, and a shared love for Kung-Fu novels as the main character, Chow, writes his own novel and reflects back on his favorite love Su.",7.157169,/orslhtqVBbI1n7RECP7Fkhuodph.jpg,"[{'name': 'Paradis Films', 'id': 255}, {'name': 'Orly Films', 'id': 354}, {'name': 'Shanghai Film Group Corporation', 'id': 19858}, {'name': 'Jet Tone Films', 'id': 26492}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",2004-05-20,19271312.0,129.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,Are you still in the mood for love?,2046,False,6.9,208.0
