adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,373541,tt2718314,en,Dark Awakening,A thriller centered on a couple who makes an old estate their new home and soon begin to see the spirits of dead children.,0.610094,/A3HyXfnfC7VfSc5DG2KcDDb6L2k.jpg,"[{'name': 'Nevermore Films', 'id': 70420}, {'name': 'Atlantic & Pacific Pictures', 'id': 70421}, {'name': 'Cafe Oscuro Films', 'id': 70422}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-09-10,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,When the dead come out to play.,Dark Awakening,False,4.2,5.0
False,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}]",,65573,tt0067242,it,In nome del popolo italiano,"An obscure Italian magistrate suspects that a well-known industrialist commited murder, and decides to investigate him, and bring him to court, whatever it takes. But - will the magistrate have it in him to go against impossible odds, in the name of the Italian people he represents?",0.669622,/ywh1QmZHJDPbhCzEF7G92IzoXe6.jpg,"[{'name': 'International Apollo Films', 'id': 1378}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1971-12-15,0.0,103.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,In the Name of the Italian People,False,7.3,10.0
False,,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,9566,tt0116277,en,The Fan,"When the San Francisco Giants pay centerfielder Bobby Rayburn $40 million to lead their team to the World Series, no one is happier or more supportive than #1 fan Gil Renard.  So when Rayburn becomes mired in the worst slump of his career, the obsessed Renard decides to stop at nothing to help his idol regain his former glory... not even murder.",12.202063,/fdW8T9kkYlPyOGh0V5eodFr8SQq.jpg,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mandalay Entertainment', 'id': 1236}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-15,18626419.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All fans have a favorite player.  This one has a favorite target.,The Fan,False,5.7,202.0
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,85009,tt0090186,en,Too Scared to Scream,"A killer of young women is loose in an exclusive apartment complex and a detective is out to stop him. The chief suspect is a Shakespeare-spouting doorman who lives with his invalid mother. Meanwhile, an undercover cop moves into the apartment house. This move is complicated by her relationship with the detective.",0.332156,/6TX5DCYJGAkh4PQMPB98c8PB7TX.jpg,"[{'name': '21st Century Film Corporation', 'id': 13282}, {'name': 'Moviestore Entertainment', 'id': 35839}, {'name': 'Doorman', 'id': 58052}]",[],1985-01-04,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"There has to be a morning after, but only if you survive the night before.",Too Scared to Scream,False,6.5,1.0
False,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",,354285,tt4827986,en,The Sense of an Ending,A man becomes haunted by his past and is presented with a mysterious legacy that causes him re-think his current situation in life.,5.655716,/gvW0Ki7pEv4iZYbtGwgcvqR6s1c.jpg,"[{'name': 'BBC Films', 'id': 288}, {'name': 'FilmNation Entertainment', 'id': 7493}, {'name': 'Origin Pictures', 'id': 8088}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2017-03-10,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Unravel the truth,The Sense of an Ending,False,6.7,20.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,12794,tt0779722,en,Amnesia: The James Brighton Enigma,"A young man wakes up naked on a pallet on the street in Montreal. Who is he, what is his name? How did he get here? The only thing he seems to remember is that he's gay. And so begins one of the most compelling gay-themed mysteries we’ve seen. Based on a true story, this young man has been through some trauma that caused his memory loss -- or is he an imposter avoiding the law in some way?",0.606331,/tbrHkHSxPWSdQS19id8IxcNgqkq.jpg,"[{'name': 'TLA Releasing', 'id': 328}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2005-01-01,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Amnesia: The James Brighton Enigma,False,4.6,7.0
False,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,12101,tt0070723,en,Soylent Green,"In an overpopulated futuristic Earth, a New York police detective finds himself marked for murder by government agents when he gets too close to a bizarre state secret involving the origins of a revolutionary and needed new foodstuff.",7.630456,/tIQVty3lbBzwuLemEDQic1Axfbd.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1973-04-19,3600000.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What is the secret of Soylent Green?,Soylent Green,False,6.8,305.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,95177,tt2023714,en,Sun Don't Shine,Crystal and her boyfriend Leo embark on a tense and mysterious road trip through the desolate yet hauntingly beautiful landscape of central Florida.,1.228391,/rDHJ5pr6IyACTENgbdw229rEeLa.jpg,"[{'name': 'Spy Post Digital', 'id': 82234}, {'name': 'Skywalker Sound', 'id': 82235}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-03-10,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Good hearts can do bad things,Sun Don't Shine,False,5.8,9.0
False,,0,"[{'id': 9648, 'name': 'Mystery'}]",,228647,tt0031657,en,Miracles For Sale,A maker (Robert Young) of illusions for magicians protects an ingenue (Florence Rice) likely to be murdered.,0.360066,/puqCjFqPLepyDgCoXBKLMolAfcM.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-08-14,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Thrills! Chills! Laughs!,Miracles For Sale,False,5.5,4.0
False,,35000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,8197,tt0119668,en,Midnight in the Garden of Good and Evil,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",5.145907,/aBnUxDAqULcUasM5cZiMy0970ZU.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Malpaso Company', 'id': 15298}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-11-21,25105255.0,155.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Midnight in the Garden of Good and Evil,False,6.3,161.0
