adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,17460,tt0792966,fr,La faute à Fidel!,A 9-year-old girl weathers big changes in her household as her parents become radical political activists in 1970-71 Paris.,1.871922,/j3Rnx8Iz26PG9Ixz6DkxWJ0BeyW.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",2006-11-29,0.0,99.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Blame It on Fidel!,False,6.9,9.0
False,"{'id': 96682, 'name': 'Zeitgeist Collection', 'poster_path': '/zegp5qMeFmJY6ImUllNKDFCNSwD.jpg', 'backdrop_path': None}",7000000,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",http://www.zeitgeistmovie.com,13016,tt1166827,en,Zeitgeist,"Zeitgeist: the Movie is a 2007 documentary film by Peter Joseph examining possible historical and modern conspiracies surrounding Christianity, the September 11, 2001 terrorist attacks and the Federal Reserve bank. It was officially released online on June 18, 2007 on www.ZeitgeistMovie.com",4.777597,/wYMpPrFXLDjxn48mXm3OiaC9Drq.jpg,"[{'name': 'Gentle Machine Productions LLC', 'id': 39242}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-06-01,0.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Zeitgeist,False,7.0,173.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,30529,tt0117959,it,La tregua,"Although liberated from Auschwitz on January 27, 1945, Levi did not reach Turin until October 19 of that year. After spending some time in a Soviet camp for former concentration camp inmates, he embarked on an arduous journey home in the company of Italian former prisoners of war from the Italian Army in Russia. His long railway journey home to Turin took him on a circuitous route from Poland, through Russia, Romania, Hungary, Austria and Germany.",0.956069,/6HTuCZddcrvcOSBq51vt7QIlM0T.jpg,"[{'name': 'UGC Images', 'id': 1475}, {'name': 'Stéphan Films', 'id': 2359}, {'name': '3 emme cinematografica', 'id': 22979}, {'name': 'DaZu Film', 'id': 55381}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]",1997-02-10,0.0,125.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Truce,False,5.4,10.0
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,198460,tt0092688,ru,Борис Годунов,"Praised for its fine photography and production design if not its narrative, Sergei Bondarchuk directed this adaptation of the tale by Alexander Pushkin. Boris Godunov came to the Czarist throne at the end of the 16th century, after the original heir to Ivan the Terrible had died. At first, things went well for Godunov (played by Bondarchuk), but when the Russian people began to believe he had killed Ivan the Terrible's son in order to gain the throne, an alliance sprang up against the new Czar. Events continued to spin out of control as a young monk was presented as the son Godunov had supposedly killed. Now he was openly accused of failing an assassination attempt, which seems to be even worse than succeeding. In addition to these woes, Boris Godunov began to suffer serious health problems. So much for the joys of kingship.",0.008673,/uUKPMOZDdWdIoUUPTBCsBTYht86.jpg,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1986-10-14,0.0,130.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Boris Godunov,False,2.5,2.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,67463,tt0087400,de,Heimat: Eine deutsche Chronik,"This epic tale of a family and their rural life in a small German village is told against the changing backdrop of a country's turbulent history from 1919 to 1982. From the aftermath of the First World War, economic hardship, the rise and fall of Nazism, the Second World War and the decades that followed, life in the village goes on and the values and aspirations of the people at its heart are wonderfully brought to life in this gripping saga of an ordinary family living through extraordinary times.",0.016204,/A6j8ZUpPzGclIGeSWjOQ74c6PO8.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1984-09-16,0.0,925.0,[],Released,,Heimat: A Chronicle of Germany,False,9.0,1.0
False,,4000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.sonyclassics.com/winterinwartime/,16564,tt0795441,nl,Oorlogswinter,"During World War II in the freezing Netherlands winter of 1944/1945 the western Netherlands are in the grip of a famine.  Many people move east to provide for their families. Fourteen year old Michiel can't wait to join the Dutch resistance, to the dismay of his father, who, as mayor, works to prevent escalations in the village.",3.92107,/5U48dtSLUTRwg1he8Ggbl67N8wI.jpg,"[{'name': 'Max TV', 'id': 11301}, {'name': 'Prime Time', 'id': 11931}, {'name': 'Isabella Films B.V.', 'id': 12045}, {'name': 'Fu Works', 'id': 12046}, {'name': 'Isabella Films', 'id': 12047}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]",2008-11-17,530048.0,103.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,"In 1945 Holland, a boy must choose between good and evil.",Winter in Wartime,False,6.8,66.0
False,"{'id': 247028, 'name': 'Rurouni Kenshin Live-Action Collection', 'poster_path': '/yBYLuwZ1zbRBEKaZmwiThsEqUbC.jpg', 'backdrop_path': '/jqmQLcdn3aEyc30nesZn7qixfoP.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://wwws.warnerbros.co.jp/rurouni-kenshin/index.html,127533,tt1979319,ja,るろうに剣心,"Former legendary assassin Kenshin Himura has now become a wandering samurai. Offering aid &amp; protecting those in need as atonement for his past deeds. During this time Kenshin Himura comes across and aides Kaoru Kamiya (Emi Takei). Her father opened the Kamiya Kasshin-ryu, a kendo school located in Tokyo and Kaoru is now an instructor there. Kaoru then invites Kenshin to stay at her dojo. Their relationship develops further, but Kenshin is still haunted by his violent past ...",7.916658,/rmBUaljPj6SJVArR68fHl41oJU4.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Studio Swan', 'id': 10765}, {'name': 'RoC Works Co.', 'id': 10766}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2012-08-25,61700000.0,134.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,The Journey Begins,Rurouni Kenshin,False,7.2,174.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,100215,tt0083872,hu,Egymásra nézve,"Political and sexual repression in Hungary, just after the revolution of 1956. In 1958, the body of Eva Szalanczky, a political journalist, is discovered near the border. Her friend Livia is in hospital with a broken neck; Livia's husband, Donci, is under arrest. In a flashback to the year before, we see what leads up to the tragedy. Eva gets a job as a writer. She meets Livia and is attracted to her. Livia feels much the same, but as a married woman, has doubts and hesitations. In their work, they (and Eva in particular) bang up against the limits of telling political truths; in private, they confront the limits of living out sexual and emotional truth.",0.455195,/w69UnM83Mf4MEqYtFOTwJnNHZX.jpg,"[{'name': 'MAFILM Dialóg Filmstúdió', 'id': 9088}, {'name': 'Meridian Films', 'id': 31317}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1982-05-01,0.0,102.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Another Way,False,4.3,4.0
False,,34000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,1883,tt0104797,en,Malcolm X,The biopic of the controversial and influential Black Nationalist leader.,14.207001,/jDQ2iBJuiimvYqk9orA2YaigBmW.jpg,"[{'name': 'JVC Entertainment', 'id': 182}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-11-18,48169908.0,202.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Malcolm X,False,7.3,377.0
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",,57924,tt1722426,de,Auschwitz,Auschwitz is a hard-hitting war film which shows life as it really was at the death camp.,0.827141,/kPgBTRgdQ8l86eBi9kD0FknKHxB.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2011-02-11,0.0,72.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,The most harrowing portrayal of the ultimate crime against humanity.,Auschwitz,False,3.3,5.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,111988,tt0081148,el,Ο Μεγαλέξαντρος,"Based on some historical events, the film gives a romanticized biography of Theodoros Kolokotronis, a Greek historical hero serving as a metaphor for Greece herself. Based on a circular view of history, the film presents conflicting ideologies - primitive communism, anarchism, chiefdom or kingdom, personality cult - and shows the institutions of property and power in a bad light.",0.71334,/yEDijfRQj2g4N0aPc5kA0L1IBje.jpg,"[{'name': 'Zweites Deutsches Fernsehen (ZDF)', 'id': 4606}, {'name': 'Rai 2', 'id': 23119}, {'name': 'Theo Angelopoulos Films', 'id': 33152}]","[{'iso_3166_1': 'GR', 'name': 'Greece'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1980-04-16,0.0,235.0,"[{'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,,Alexander the Great,False,7.3,3.0
False,,16000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,77223,tt0119859,en,Paradise Road,"Paradise Road is a 1997 film which tells the story of a group of English, American, Dutch and Australian women who are imprisoned in Sumatra during World War II. It was directed by Bruce Beresford and stars Glenn Close as beatific Adrienne Pargiter, Frances McDormand as the brash Dr. Verstak, Pauline Collins as missionary Margaret Drummond (based on missionary Margaret Dryburgh), Julianna Margulies as American socialite Topsy Merritt, Jennifer Ehle as British doyenne and model Rosemary Leighton Jones, Cate Blanchett as Australian nurse Susan McCarthy and Elizabeth Spriggs as dowager Imogene Roberts. Basing his picture on real events, Bruce Beresford tells the story of a vocal orchestra created by the women in a Japanese P.O.W. camp, a classic survivors' tale extolling women's ability to survive hardship and atrocity through perseverance, solidarity and creativity.",1.462139,/A6leUBF4WYHyPs75dOO0UF5WFaJ.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Samson Productions', 'id': 5368}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-11,0.0,122.0,[],Released,,Paradise Road,False,6.2,21.0
False,,8500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,891,tt0074119,en,All the President's Men,"In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself.",12.421754,/jh4aA8tryNy1QDiQzkE1kzPqkwc.jpg,"[{'name': 'Wildwood Enterprises', 'id': 316}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-04-04,70600000.0,138.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The most devastating detective story of this century.,All the President's Men,False,7.6,424.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,149468,tt0062456,ru,Война и Мир 4: Пьер Безухов,"As Moscow is set ablaze by the retreating Russians, the Rostovs flee their estate, taking wounded soldiers with them, and unbeknownst to them, also Andrei. Pierre, dressed as a peasant, tries to assassinate Napoleon but is taken prisoner. As the French are forced to retreat, he is marched for months with the Grande Armée, until being freed by a raiding party. The French are defeated by Kutuzov in the Battle of Krasnoi. Andrei is recognized and is brought to his estate. He forgives Natasha on his deathbed. She reunites with Pierre and they marry as Moscow is being rebuilt.",0.523083,/3Xo6uaXtA3pDTXOjn60zHk2WMj5.jpg,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'SU', 'name': 'Soviet Union'}]",1967-11-04,0.0,100.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,"War and Peace, Part IV: Pierre Bezukhov",False,7.0,1.0
