adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",,37108,tt0113538,en,A Kid in King Arthur's Court,"A Southern California kid named Calvin Fuller is magically transported to the medieval kingdom of Camelot through a crack in the ground caused by an earthquake. Once there, he learns he was summoned by the wizard Merlin, who needs Calvin to save Camelot. Using dazzling modern inventions, can Calvin help King Arthur retain his crown and thwart the evil Lord Belasco?",5.874511,/iklPPdF1TQFPmRyVu0SH0yF1gdt.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Trimark Pictures', 'id': 4063}]",[],1995-08-11,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Joust Do It.,A Kid in King Arthur's Court,False,4.3,40.0
False,,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",http://www.miramax.com/movie/emma/,3573,tt0116191,en,Emma,"Emma Woodhouse is a congenial young lady who delights in meddling in other people’s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.",6.593011,/rZhCekNwWmkiLVpsYhSWfl9TkME.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Haft Entertainment', 'id': 1363}, {'name': 'Matchmaker Films', 'id': 1443}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-02,22231658.0,121.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Cupid is armed and dangerous!,Emma,False,6.7,152.0
False,"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",15000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,9431,tt0117826,en,Bordello of Blood,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current.",3.450402,/k3DDcdfIfwKubjcFWqIkVL7cQFC.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Tales From The Crypt Holdings', 'id': 69626}, {'name': 'Universal City Studios', 'id': 69627}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-16,5600000.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Bordello of Blood,False,5.0,63.0
False,"{'id': 10709, 'name': 'The Mighty Ducks Collection', 'poster_path': '/aUM5CXRiOu0YgrRZtDZSp997zgr.jpg', 'backdrop_path': '/8C8f3UkMgNofmipZ4b42UqdnUYb.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,10680,tt0116000,en,D3: The Mighty Ducks,The Ducks are offered scholarships at Eden Hall Academy but struggle with their new coach's methods and come under pressure from the board to retain their scholarships before their big game against the Varsity team.,5.511475,/umoEeNQqhvUg7jnpdGZnvNHCRFS.jpg,"[{'name': 'Walt Disney', 'id': 5888}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-10-04,22955097.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No Fear. No Limits. No Brakes. Just Ducks.,D3: The Mighty Ducks,False,5.3,99.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,13982,tt0118541,en,8 Heads in a Duffel Bag,"Mafia hitman Tommy Spinelli (Joe Pesci) is flying to San Diego with a bag that holds eight severed heads, which he's bringing to his superiors to prove that some troublesome rival mobsters are permanently out of the picture. When his bag gets accidentally switched at the airport, Tommy must track down his duffel bag and the 8 heads it contains.",5.666701,/t9ZzvSgXpbhp6RxpT5nFXwuAwj5.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Brad Krevoy & Steve Stabler production', 'id': 3581}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-18,0.0,95.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,A mindless comedy.,8 Heads in a Duffel Bag,False,5.4,39.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,26180,tt0119086,en,Excess Baggage,"A rich brat (Alicia Silverstone) fakes her own kidnapping, but in the process ends up locked in the trunk of a car that gets stolen.",3.714997,/AwARTIpAYJSwt7LSM4JR13Im9A8.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-08-29,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A crash course in kidnappings, car thefts and other rituals of dating.",Excess Baggage,False,5.6,56.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",,281289,tt0128690,en,Tainted,A sarcastic comedy thriller about a vampire who sets out to infect the blood of a hospital and the twenty-something slackers who set out to stop him.,0.076396,/px4IPRjwrYaDEXSr7TzEOfxXsRk.jpg,[],[],1998-05-18,0.0,108.0,[],Released,"Dead End Jobs, A Drunk Ex-girlfriend, Psychotic Vampires: ONE HELL OF A NIGHT!",Tainted,False,5.5,2.0
False,"{'id': 945, 'name': 'Lethal Weapon Collection', 'poster_path': '/5zg6QLY0tdDLVHLwn28oowG3m8H.jpg', 'backdrop_path': '/bSLbqUqs5FzBOb1aO9v7qz71R0U.jpg'}",35000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,943,tt0104714,en,Lethal Weapon 3,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",10.786007,/pr5RcT2TdJ09PkETdhRiwixf8PW.jpg,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-05-15,321731527.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The magic is back again!,Lethal Weapon 3,False,6.4,824.0
False,"{'id': 89151, 'name': 'The Gremlins Collection', 'poster_path': '/yiZ18XZHFNjFfEDnEkFCrHVHXcn.jpg', 'backdrop_path': '/2Oz7EyiM9nNeP7appRFkMZNeYRo.jpg'}",11000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,927,tt0087363,en,Gremlins,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",11.333125,/gXDHxQ92qyF6LUYwn6xuK2L8TYW.jpg,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1984-06-07,153083102.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"Don't get him wet, keep him out of bright light, and never feed him after midnight.",Gremlins,False,6.9,1629.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://en.wikipedia.org/wiki/Polish_Wedding,38509,tt0119910,en,Polish Wedding,"The film centers on a big Polish family. Jadzia is the mother and the ruler of the Pzoniak family (she has five children). Though she's happily married to Bolek, she is also having a long-time affair with Roman. Her young daughter Hala is having an affair with neighbour cop Russell and becomes pregnant by him. Russell is pressed hard to marry Hala.",4.387797,/g7uRulFnicgUoKDVBmcRUgwr9Q0.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Addis Wechsler Pictures', 'id': 4665}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1998-01-16,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Sometimes the further you stray, the closer you are to home.",Polish Wedding,False,5.4,18.0
