adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",,48894,tt0120056,en,Die Salzmänner von Tibet,"Four men from a nomadic Tibetan tribe undertake their annual, ritualistic pilgrimage to a sacred salt lake. Salt gathered in this traditional fashion will be sold to provide the economic livelihood of the tribe for the coming year. The journey, necessary for the group's survival, also incorporates a number of rituals necessary for their culture to survive in the modern world.",0.113565,/yVgqD24O6aWeRjgNQrcij5tbglx.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]",1997-04-25,0.0,108.0,"[{'iso_639_1': 'bo', 'name': ''}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Saltmen of Tibet,False,6.5,3.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,113286,tt0175550,en,The Dancemaker,"A look at Paul Taylor and his dance company over several months in 1997. Preparation of Taylor's piece, ""Piazzolla Caldera,"" from conception and rehearsals to opening night at City Center, frames the film. The troupe's trip to India falls in the middle. Included are black and white footage of rehearsals, and, in color, interviews with Taylor, his dancers, dance critics and scholars, and those who manage the business side. There is also footage of a younger Taylor dancing and film of the troupe performing a dozen Taylor pieces. His genius, his roots, his method of working with dancers, and his sometimes difficult nature draw the attention of those who comment.",0.042361,/8umbAqOMHZJrXwEwwnLVa2ya2Is.jpg,[],[],1998-12-01,0.0,98.0,[],Released,,The Dancemaker,False,7.0,1.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.lifeanddebt.org/,20303,tt0284262,en,Life and Debt,Documentary look at the effects of globalization on Jamaican industry and agriculture.,0.250317,/sfFKg4mnQW27MgjDH6EUXPMv9Mt.jpg,[],[],2003-02-28,0.0,80.0,[],Released,,Life and Debt,False,6.3,5.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,1358,tt0103882,en,A Brief History of Time,"A documentary film based on the life of scientist Steven Hawking. The film explores the intimate life of Steven Hawking through him, his friends and his family, as he goes through school, is diagnosed with a degenerative disease, and discovers revolutionary theories about time, black holes, and the origin of the universe. A visually interesting and at times funny film about a extraordinary life.",2.4312,/245tFCzZLiE9Xo03EuZIU03zXEw.jpg,"[{'name': 'Anglia Television', 'id': 1391}, {'name': 'National Broadcasting Company', 'id': 1392}, {'name': 'Tokyo Broadcasting System (TBS)', 'id': 1393}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1991-10-01,0.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,A Brief History of Time,False,7.4,37.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 99, 'name': 'Documentary'}, {'id': 878, 'name': 'Science Fiction'}]",,22559,tt0417415,en,Aliens of the Deep,"James Cameron teams up with NASA scientists to explore the Mid-Ocean Ridge, a submerged chain of mountains that band the Earth and are home to some of the planet's most unique life forms.",1.924682,/pB1HMawACKSpuxcYiufw2pzX63c.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walden Media', 'id': 10221}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-21,0.0,47.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Aliens of the Deep,False,6.8,19.0
False,,3000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",http://www.chappellesblockparty.com/home.html,292,tt0425598,en,Dave Chappelle's Block Party,"The American comedian/actor delivers a story about the alternative Hip Hop scene. A small town Ohio man’s moves to Brooklyn, New York, to throw an unprecedented block party. Filmed with inspiration from the 1973 documentary Wattstax.",2.092791,/hemHNgWePU3sYwI9LD7INOJWWBQ.jpg,"[{'name': 'Yari Film Group', 'id': 2448}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-09-12,11718595.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Dave Chappelle's Block Party,False,6.5,29.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.nominum.lt/index.asp?DL=L&TopicID=83&Code=,53196,tt0892425,en,Pries parskrendant i zeme,A short documentary about a hospital ward for children with leukemia in Lithuania.,0.212159,/crqGD0INH5irvjVlobLm7AH39Ez.jpg,"[{'name': 'Tag/Traum Filmproduktion', 'id': 1410}, {'name': 'ZDF Productions', 'id': 8595}, {'name': 'Nomimun', 'id': 74863}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'LT', 'name': 'Lithuania'}]",2005-10-10,0.0,52.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'lt', 'name': 'Lietuvi\x9akai'}]",Released,,Before Flying Back to Earth,False,6.0,2.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",,14236,tt1111833,en,Super High Me,"Determined to find out the true effects of marijuana on the human body, stand-up comedian and former Stoner of the Year Doug Benson documents his experience avoiding pot for 30 days and then consuming massive amounts of the drug for 30 days. More than just an amusing story of one man's quest to get superhigh, this documentary also examines the hotly contested debate over medical marijuana use.",11.320193,/3Fq6cKVN4NKjIQNb3ChzzySMa3j.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-10-13,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Super High Me,False,5.9,71.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,128857,tt0180443,en,Apollo 13: To the Edge and Back,"Apollo 13: To the Edge and Back tells the gripping, true story of the catastrophic flight of the Apollo 13 and the heroic struggle to bring the astronauts back alive. With first-hand accounts from the pilots, their families, and the people of mission control, it documents a thrilling struggle against time and all odds and serves as a reminder that, in the words of James Lovell, ""We do not realize what we have on Earth until we leave it.""",0.002384,/8DC74UpzGidUhFahzQ2ewiH149z.jpg,[],[],1994-01-01,0.0,82.0,[],Released,A detailed account of the trials and triumphs of the Apollo 13 mission.,Apollo 13: To the Edge and Back,False,0.0,0.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,204996,tt1221143,en,My first war,"At the age of 28, I was drafted as a soldier in the Second Lebanese War. Instinctively, I grabbed my video camera. The movie recalls the lack of justice in this unnecessary war and the loss of valuable lives. This was my personal earthquake and the nation as a whole. (Yariv mozer)",0.006588,,[],[],2008-04-06,0.0,82.0,[],Released,,My first war,False,0.0,0.0
