adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,5257,tt0205873,en,The Dish,"The true story of how the Parkes Radio Telescope was used to relay the live television of man's first steps on the moon, during the Apollo 11 mission in 1969.",6.263988,/zG83o1wpU3p7QTd382K4HtctLq0.jpg,"[{'name': 'Distant Horizons', 'id': 1066}, {'name': 'Working Dog', 'id': 13674}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2000-07-11,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Man's first step on the moon nearly stumbled on earth,The Dish,False,6.6,62.0
False,,5760000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",,21876,tt0059885,en,Von Ryan's Express,"Von Ryan's Express stars Frank Sinatra as a POW colonel who leads a daring escape from Nazi Germany by taking over a freight train, but he has to win over the British soldiers he finds himself commanding.",9.891678,/AjRpQePaDIPLGUnarnJUW7Dvw7G.jpg,"[{'name': 'P-R Productions Picture', 'id': 69791}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1965-06-23,0.0,117.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Von Ryan's Express,False,6.7,57.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,29471,tt0089716,de,Oberst Redl,"Set during the fading glory of the Austro-Hungarian empire, the film tells of the rise and fall of Alfred Redl (Brandauer), an ambitious young officer who proceeds up the ladder to become head of the Secret Police only to become ensnared in political deception.",1.923855,/pdLoGyMGQDft8hT6hP1RVdygDRe.jpg,"[{'name': 'Österreichischer Rundfunk (ORF)', 'id': 3391}, {'name': 'Zweites Deutsches Fernsehen (ZDF)', 'id': 4606}, {'name': 'MAFILM Objektív Filmstúdió', 'id': 8895}, {'name': 'Mokép', 'id': 28762}, {'name': 'Manfred Durniok Filmproduktion', 'id': 74657}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'RS', 'name': 'Serbia'}, {'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",1985-03-29,0.0,144.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Colonel Redl,False,6.2,15.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 36, 'name': 'History'}]",,19753,tt0066402,en,Start the Revolution Without Me,"An account of the adventures of two sets of identical twins, badly scrambled at birth, on the eve of the French Revolution. One set is haughty and aristocratic, the other poor and somewhat dim. They find themselves involved in palace intrigues as history happens around them. Based, very loosely, on Dickens's ""A Tale of Two Cities,"" Dumas's ""The Corsican Brothers,"" etc.",2.406178,/abw7BKoi50gtDexKuGjDZ94cZH0.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'NorBud Productions', 'id': 66659}, {'name': 'Norbud Films', 'id': 76320}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1970-08-14,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Gene Wilder... wilder than ever!,Start the Revolution Without Me,False,5.5,12.0
False,,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,821,tt0055031,en,Judgment at Nuremberg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",9.697105,/iu7VMhBma5S94M3wh0fR8cmwgUf.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Roxlom Films', 'id': 526}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-12-01,10000000.0,186.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The event the world will never forget,Judgment at Nuremberg,False,7.6,161.0
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,2200,tt0071688,de,Jakob der Lügner,"A Jewish ghetto in the east of Europe, 1944. By coincidence, Jakob Heym eavesdrops on a German radio broadcast announcing the Soviet Army is making slow by steady progress towards central Europe. In order to keep his companion in misfortune, Mischa, from risking his life for a few potatoes, he tells him what he heard and announces that he is in possession of a radio - in the ghetto a crime punishable by death. It doesn't take long for word of Jakob's secret to spread - suddenly, there is new hope and something to live for - and so Jakob finds himself in the uncomforting position of having to come up with more and more stories.",2.072612,/oiRpUkdsorCypbTDxqDED9BRRCj.jpg,"[{'name': 'DEFA', 'id': 602}, {'name': 'DEFA-Studio für Spielfilme', 'id': 69770}, {'name': 'Gruppe ""Johannisthal""', 'id': 87970}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'XG', 'name': 'East Germany'}]",1974-12-22,0.0,100.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Jacob the Liar,False,7.3,7.0
False,,145000000,"[{'id': 37, 'name': 'Western'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,10733,tt0318974,en,The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",12.240901,/6BjQL97zeRnpJShJV5DQT9e9SE4.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-07,25819961.0,137.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,You will never forget,The Alamo,False,5.8,108.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,58097,tt0113649,es,Libertarias,"At the outbreak of the Spanish Civil War, the nun Maria is forced to flee her convent. She takes refuge in a brothel, until it is liberated by a woman's anarchist group. Maria joins the group and eventually goes to the front. The women's group faces the problems of fighting not only the nationalists, but also factions on the left seeking to impose a more traditional military structure. Written by Brian Rawnsley",0.668261,/v13BmnhN0Zar4ek4dH0zXLBXZ4z.jpg,"[{'name': 'Academy Pictures', 'id': 1036}, {'name': 'Erato Films', 'id': 2239}, {'name': 'Lolafilms', 'id': 6861}, {'name': 'Canal+ España', 'id': 9335}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1996-04-19,0.0,125.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Freedomfighters,False,6.7,12.0
False,,1400000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,16442,tt0034167,en,Sergeant York,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,3.336494,/2oQZp8RMxUNW6NwE1HdZuy8kWvV.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1941-07-02,16361885.0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Missiles! Jets! Tanks! ...It's Still The Guy With Guts And A Gun Who Wins The War!,Sergeant York,False,7.1,47.0
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,82311,tt0054476,en,Wild River,"A young field administrator for the TVA comes to rural Tennessee to oversee the building of a dam on the Tennessee River. He encounters opposition from the local people, in particular a farmer who objects to his employment (with pay) of local black laborers. Much of the plot revolves around the eviction of an elderly woman from her home on an island in the River, and the young man's love affair with that woman's widowed granddaughter.",1.669808,/bXla3L4tjHXBo2li4WnU0mbcLAP.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1960-05-01,0.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Wild River,False,6.5,19.0
