adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,9061,tt0113501,en,Just Cause,"Bobby Earl is facing the electric chair for the murder of a young girl. Eight years after the crime he calls in Paul Armstrong, a professor of law, to help prove his innocence. Armstrong quickly uncovers some overlooked evidence to present to the local police, but they aren't interested - Bobby was their killer.",9.195256,/tPQ8kT5HVxfyKXVeoiC6NkF5gsu.jpg,"[{'name': 'Fountainbridge Films', 'id': 414}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Lee Rich Productions', 'id': 36854}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-02-17,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.,Just Cause,False,6.0,124.0
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,32076,tt0092632,en,The Believers,"Mourning the accidental death of his wife and having just moved to New York with his young son, laconic police psychologist Cal Jamison (Martin Sheen) is reluctantly drawn into a series of grisly, ritualistic murders involving the immolation of two youths.",3.321608,/wMDOgjHoDdKKj3UNZzjP8AW0wxR.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Orion Pictures Corporation', 'id': 14150}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-06-09,18753438.0,114.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"Nothing can stop them, no one can help you. They know who you are.",The Believers,False,6.2,39.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,77936,tt0157208,fr,L'école de la chair,"In Paris, Dominique, a middle-aged fashion professional, solicits the services of the handsome Quentin , a bisexual bartender and prostitute who is 15 years her junior. After they first sleep together, their business transaction becomes transformed into a passionate love affair. However, the couple's romance becomes an ugly power struggle when social class and age distinctions begin to bubble toward the surface.",1.085907,/o8ZxuZLMR5fLOk6dZUWgoJ14AOd.jpg,"[{'name': 'Artémis Productions', 'id': 11773}, {'name': 'La Sept Cinéma', 'id': 16366}, {'name': 'Orsans Productions', 'id': 44821}, {'name': 'Bel Age Distribution', 'id': 44822}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'LU', 'name': 'Luxembourg'}]",1998-11-18,0.0,110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,"Lessons in love, sex and betrayal.",The School of Flesh,False,5.7,7.0
False,"{'id': 64750, 'name': 'Blair Witch Collection', 'poster_path': '/qDQuKJZYLHrs1Ej64tYYFooFxc1.jpg', 'backdrop_path': '/e5GwLq0zBer3SuSJZodcNROnT6Z.jpg'}",60000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",http://www.blairwitch.com/,2667,tt0185937,en,The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",14.838386,/ip2IqmvCqFzvPe8RAHpT1My6XM9.jpg,"[{'name': 'Artisan Entertainment', 'id': 2188}, {'name': 'Haxan Films', 'id': 15160}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-07-14,248000000.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The scariest movie of all time is a true story.,The Blair Witch Project,False,6.3,1090.0
False,,65000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",http://eyeswideshut.warnerbros.com/,345,tt0120663,en,Eyes Wide Shut,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",13.268484,/zTuqPq1PBsIoG2DV9NgKPgdaoSX.jpg,"[{'name': 'Hobby Films', 'id': 194}, {'name': 'Pole Star', 'id': 195}, {'name': 'Stanley Kubrick Productions', 'id': 385}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-07-14,162091208.0,159.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Cruise. Kidman. Kubrick.,Eyes Wide Shut,False,7.1,1266.0
False,,33000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,10685,tt0204626,en,The Watcher,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",6.173059,/jesZYsaqtqEaaekAVlyAxpZGDqZ.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-08,0.0,96.0,"[{'iso_639_1': 'vi', 'name': 'Tiếng Việt'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Don't go home alone.,The Watcher,False,5.0,112.0
False,,9000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.otnemem.com/,77,tt0209144,en,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789,/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Team Todd', 'id': 598}, {'name': 'I Remember Productions', 'id': 34446}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-11,39723096.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some memories are best forgotten.,Memento,False,8.1,4168.0
False,,1500000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,10972,tt0261983,en,Session 9,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.,14.242234,/mWwrWhPHiHSoCWUkYcq4GplRF6V.jpg,"[{'name': 'October Films', 'id': 236}, {'name': 'USA Films', 'id': 987}, {'name': 'Scout Productions', 'id': 2065}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-08-10,373967.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Fear is a place.,Session 9,False,6.2,255.0
False,,2200000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,994,tt0067800,en,Straw Dogs,A young American and his English wife come to rural England and face increasingly vicious local harassment.,6.632663,/kn85ADdkCrL3I2uWfKKhxpjolU5.jpg,"[{'name': 'ABC Pictures', 'id': 634}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1971-12-29,3251794.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"No good, no bad, no justice.",Straw Dogs,False,7.2,230.0
False,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,12531,tt0115561,fr,L'Appartement,"A stylish suspense thriller that confounds the audience while presenting them with an extraordinary and elusive mystery. Max is a former playboy who has decided to settle down by marrying his current love, Muriel. However, during a business trip, Max catches a glimpse of the great lost love of his life, reviving his wanderlust and sending him off on a chase of the elusive Lisa, whom he had overheard suggesting to a friend that her lover, Daniel, had killed someone for her. Soon, Max is trying to unravel the mystery behind the suspicious death of Daniel's wife, which he hopes will lead him closer to Lisa.",6.228174,/1sqrQdQTn8jKLhUcPKfRVj639zA.jpg,"[{'name': 'Cecchi Gori Group Tiger Cinematografica', 'id': 371}, {'name': 'IMA Productions', 'id': 4790}, {'name': 'La Sept Cinéma', 'id': 16366}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1996-07-27,0.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,,The Apartment,False,6.5,37.0
