adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,43580,tt0284714,en,The Cat in the Hat,"In a marvelously animated version of one of the most beloved of all Dr. Seuss tales, two youngsters find themselves at home with nothing to do on a rainy afternoon. But when the magical, mischievous Cat in the Hat arrives on the scene, they're all cat-apulted into a day of rousing, romping, outlandish antics they - and you - will never forget!",0.451122,/pGecEZKYXF0GBu01h3AB7qb4tpx.jpg,[],[],1971-03-10,0.0,30.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Cat in the Hat,False,6.1,11.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,109475,tt0102129,en,Ironclads,"Ironclads is a 1991 made-for-television movie produced by Ted Turner's TNT company about the events behind the creation of the CSS Virginia from the remains of the USS Merrimack and the battle between the Virginia and the USS Monitor in the Battle of Hampton Roads, March 8, 1862-March 9, 1862.",0.430963,/uURA4alWvpDeYaut86dXLpnPovD.jpg,"[{'name': 'Turner Pictures', 'id': 1765}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-03-11,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Ironclads,False,0.0,0.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,79818,tt0135187,en,A Christmas Memory,"A boy, Buddy, whose parents have split and whose mother is an actress in New York, has been dumped in the south at the small-town home of some older cousins, all of whom are unmarried.",0.239863,/vcgH3R3EOieMSvt30KurOPCP6WT.jpg,[],[],1997-12-21,0.0,96.0,[],Released,,A Christmas Memory,False,7.7,3.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10770, 'name': 'TV Movie'}]",,69129,tt0397312,en,Anonymous Rex,"The dinosaurs didn't go completely extinct when the asteroids hit 65 million years ago. Today, every ten thousandth person in the country is a dinosaur, evolved to be human-sized, wearing sophisticated solid-light holographic disguises to maintain the facade, getting stoned off regular cooking herbs like basil, rosemary and tarragon, and living by their own shadow government's laws; any human who stumbles upon them is to be immediately executed. Two dino private investigators, velociraptor Vincent Rubio and triceratops Ernie Watson, are hired by one of Ernie's old girlfriends to find out why her younger brother committed suicide, and discover a dino cult called Voice Of Progress that wants dinokind to come out of the closet and reclaim the planet.",0.787374,/6Fuz175iRP076IdMAd5udGDEsQQ.jpg,[],[],2004-11-19,0.0,120.0,[],Released,,Anonymous Rex,False,4.4,8.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10770, 'name': 'TV Movie'}]",,46227,tt0117794,en,Susie Q,"Susie Q was going to a dance one night when she and her boyfriend got into a car crash and fell off a bridge. Years later, a teenager named Zach Sands moves into Susie's old house. Zach's father died in a car accident so his family is his mother and his sister, Penny Sands. One night, Zach sees Susie, and she discovers that he can see her. Then Susie explains to Zach, there is a Heaven. But after death people are sent back to Earth to help their families. And sometimes when they can't help by themselves, they get special help. And that is why Zach can see her. So that he could help her family. In fact, Zach is the only one who can see Susie. And on the way, Zach falls in love with Susie. Is their love divine?",3.882923,/9KH2neYrgtKCFiLBTPKrRObAVhD.jpg,"[{'name': 'Libra Pictures', 'id': 4106}, {'name': 'Shavick Entertainment', 'id': 4679}]",[],1996-09-30,0.0,83.0,[],Released,Death is just the beginning.,Susie Q,False,3.9,8.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",,362886,tt5056034,en,'Tis the Season for Love,"The holiday drama follows an out-of-work actress who returns to her quaint hometown, where a Christmas romance proves the life she once left behind could turn out to be even better than Broadway.",1.004732,/rcFF0JMG7mAYKHeIO3EbL8tCV3n.jpg,[],[],2015-11-01,0.0,84.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,'Tis the Season for Love,False,6.0,11.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",http://hallmarkchannel.com/merry-matrimony,363479,tt5210048,en,Merry Matrimony,Brie Traverston is up for partner at her firm if she can successfully coordinate a Christmas wedding reshoot and ignore all the feelings that come with working with the one-that-got-away Eddie Chapman and his possibly new girlfriend Isabella.,1.185419,/poIzt4jTAYFSVOmmilv0cH6b1rz.jpg,"[{'name': 'Chesler/Perlmutter Productions', 'id': 4598}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2015-11-22,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Merry Matrimony,False,5.9,6.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",http://hallmarkchannel.com/christmas-incorporated,363480,tt5204384,en,Christmas Incorporated,"Sometimes, life just seems to hand you exactly what you need – particularly at Christmastime. In this new yuletide original, Riley is scraping bottom when she miraculously lands a job with a wealthy New York City entrepreneur. He’s a bad-boy socialite type who is poised to play Scrooge by closing one of his factories just before Christmas, which would devastate and entire town. It’s left to Riley to talk him out of it and turn him into a man of virtue rather than shame. But will a case of mistaken identity ruin the whole plan?",2.256822,/bpOcutV6cAQqT7ovkfGD99khZZs.jpg,[],[],2015-11-15,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Christmas Incorporated,False,6.4,21.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",,24799,tt1266121,en,Wolvesbayne,"The film is pretty much a ""by the numbers"" thriller that follows Russel Bayne (London) - who is bitten by a werewolf and quickly finds himself in the middle of a supernatural war between vampires, werewolves, and human hunters. To make matters worse, it seems the vampires are having a civil war with a clan breaking from the others in a quest to return the vampire goddess back to power.",3.584192,/nIZD4oIwpNuE51wYeINVeAkKdkD.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-10-12,0.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Wolvesbayne,False,3.8,15.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10749, 'name': 'Romance'}]",http://www.hallmarkchannel.com/wedding-bells,396392,tt5670394,en,Wedding Bells,"Nick and Molly, commitment-phobic and busy professionals with little in common, are asked to be the best man and maid of honor at the wedding of their mutual friends, Amy and Jamie.",0.679815,/cWnSwDPOcf2buvB6TtUikjJxeEy.jpg,"[{'name': 'Reunion Pictures', 'id': 3039}, {'name': 'The Hallmark Channel', 'id': 6425}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-06-03,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Wedding Bells,False,5.5,3.0
