adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,43566,tt0115645,en,Before and After,Two parents deal with the effects when their son is accused of murdering his girlfriend.,2.938293,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-02-23,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A murder. A suspect. A shadow of a doubt.,Before and After,False,5.8,37.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,9061,tt0113501,en,Just Cause,"Bobby Earl is facing the electric chair for the murder of a young girl. Eight years after the crime he calls in Paul Armstrong, a professor of law, to help prove his innocence. Armstrong quickly uncovers some overlooked evidence to present to the local police, but they aren't interested - Bobby was their killer.",9.195256,/tPQ8kT5HVxfyKXVeoiC6NkF5gsu.jpg,"[{'name': 'Fountainbridge Films', 'id': 414}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Lee Rich Productions', 'id': 36854}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-02-17,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.,Just Cause,False,6.0,124.0
False,,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,12123,tt0115857,en,Chain Reaction,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,15.874491,/t6anpB9iny456N7sVLd3S0QARGv.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Chicago Pacific Entertainment', 'id': 2377}, {'name': 'Zanuck Company, The', 'id': 20004}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-02,60209334.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Reaction Time 8-4-96,Chain Reaction,False,5.3,291.0
False,"{'id': 9436, 'name': 'The Crow Collection', 'poster_path': '/kfU8OZptlBfR5DL9LNGL301Zmlz.jpg', 'backdrop_path': '/6sGKUZfV4g5d2LT4CsG89o0416W.jpg'}",13000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",,10546,tt0115986,en,The Crow: City of Angels,"After Ashe and his little son are murdered violently for no reason by Judah's men, he returns from the dead to take revenge. One after one, Judah's people face the power of the dark angel. The second film based on James O'Barr's cult comic.",6.554679,/kxe6WvICLt8Z5nB76nuPh9OO4DG.jpg,"[{'name': 'Miramax Films', 'id': 14}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-29,17917287.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Believe in the power of another,The Crow: City of Angels,False,5.2,119.0
False,,38000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,11306,tt0116259,en,Extreme Measures,"Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York who starts making unwanted enquiries when the body of a man who died in his emergency room disappears. The trail leads Luthan to the door of the eminent surgeon Dr Lawrence Myrick (Gene Hackman), but Luthan soon finds himself under in danger from people who want the hospital's secret to remain undiscovered.",4.990506,/18WUNYhc58VQgBmJaFsaST9Uj69.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Simian Films', 'id': 10153}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-09-27,17380126.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Not all surgery is intended to cure.,Extreme Measures,False,5.7,80.0
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,49126,tt0075704,en,Audrey Rose,"A man is convinced that a young girl is the reincarnation of his own daughter Audrey Rose, who died in a fiery car accident, along with his wife, two minutes before the girl was born.",5.862098,/aSleSJrBJ6hKA8HfVuF9mehuyTR.jpg,"[{'name': 'Sterobcar Productions', 'id': 18038}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1977-04-06,0.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Suddenly Their Lives Were Engulfed By Supernatural Terror!,Audrey Rose,False,5.8,34.0
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,32076,tt0092632,en,The Believers,"Mourning the accidental death of his wife and having just moved to New York with his young son, laconic police psychologist Cal Jamison (Martin Sheen) is reluctantly drawn into a series of grisly, ritualistic murders involving the immolation of two youths.",3.321608,/wMDOgjHoDdKKj3UNZzjP8AW0wxR.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Orion Pictures Corporation', 'id': 14150}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-06-09,18753438.0,114.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"Nothing can stop them, no one can help you. They know who you are.",The Believers,False,6.2,39.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",,281289,tt0128690,en,Tainted,A sarcastic comedy thriller about a vampire who sets out to infect the blood of a hospital and the twenty-something slackers who set out to stop him.,0.076396,/px4IPRjwrYaDEXSr7TzEOfxXsRk.jpg,[],[],1998-05-18,0.0,108.0,[],Released,"Dead End Jobs, A Drunk Ex-girlfriend, Psychotic Vampires: ONE HELL OF A NIGHT!",Tainted,False,5.5,2.0
False,"{'id': 9735, 'name': 'Friday the 13th Collection', 'poster_path': '/uobgqpLQff9WvxGKE2OSvXv1RHm.jpg', 'backdrop_path': '/c7pMKwv5NzIN6N3KM4L8fYMTtPw.jpg'}",1250000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,9725,tt0082418,en,Friday the 13th Part 2,"Five years after the horrible bloodbath at Camp Crystal Lake, it seems Jason Voorhees and his demented mother are in the past. Paul opens up a new camp close to the infamous site, ignoring warnings to stay away, and a sexually-charged group of counselors follow -- including child psychologist major Ginny. But Jason has been hiding out all this time, and now he's ready for revenge.",8.710824,/3c6uMXqFXO9G5RVdiPB76IK3FYM.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Georgetown Productions, Inc.', 'id': 7512}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-05-01,21722776.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The body count continues...,Friday the 13th Part 2,False,6.0,321.0
False,"{'id': 9735, 'name': 'Friday the 13th Collection', 'poster_path': '/uobgqpLQff9WvxGKE2OSvXv1RHm.jpg', 'backdrop_path': '/c7pMKwv5NzIN6N3KM4L8fYMTtPw.jpg'}",4000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,9728,tt0083972,en,Friday the 13th Part III,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.",7.99229,/5wg2NZyIhcMbIBAahBODXHyJ54S.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Jason Productions', 'id': 7513}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1982-08-13,36690067.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's nowhere to hide. We dare you to try.,Friday the 13th Part III,False,5.7,257.0
