adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,5760000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",,21876,tt0059885,en,Von Ryan's Express,"Von Ryan's Express stars Frank Sinatra as a POW colonel who leads a daring escape from Nazi Germany by taking over a freight train, but he has to win over the British soldiers he finds himself commanding.",9.891678,/AjRpQePaDIPLGUnarnJUW7Dvw7G.jpg,"[{'name': 'P-R Productions Picture', 'id': 69791}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1965-06-23,0.0,117.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Von Ryan's Express,False,6.7,57.0
False,,11000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",,13560,tt0290210,en,Max,"In 1918, a young, disillusioned Adolph Hitler strikes up a friendship with a Jewish art dealer while weighing a life of passion for art vs. talent at politics",5.740474,/fzl48iRWkalx6c84lokVBoTQJjS.jpg,"[{'name': 'Film Council', 'id': 246}, {'name': 'Alliance Atlantis Communications', 'id': 803}, {'name': 'Pathé Pictures International', 'id': 1178}, {'name': 'AAMPI Inc.', 'id': 2771}, {'name': 'Bioskop Film', 'id': 5982}, {'name': 'Canadian Film or Video Production Tax Credit (CPTC)', 'id': 8582}, {'name': 'H2O Motion Pictures', 'id': 11875}, {'name': 'Aconit Pictures', 'id': 52620}, {'name': 'JAP Films', 'id': 52621}, {'name': 'Natural Nylon II', 'id': 52622}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-09-10,0.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Art + Politics = Power,Max,False,6.2,39.0
False,,70000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,9567,tt0314353,en,Tears of the Sun,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",10.614987,/qEe7aE4PgZCwnVoxKe7YsTm3Smh.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}, {'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Michael Lobell Productions', 'id': 13473}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-03-07,85632458.0,121.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He was trained to follow orders. He became a hero by defying them.,Tears of the Sun,False,6.4,582.0
False,,145000000,"[{'id': 37, 'name': 'Western'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,10733,tt0318974,en,The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",12.240901,/6BjQL97zeRnpJShJV5DQT9e9SE4.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-07,25819961.0,137.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,You will never forget,The Alamo,False,5.8,108.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,58097,tt0113649,es,Libertarias,"At the outbreak of the Spanish Civil War, the nun Maria is forced to flee her convent. She takes refuge in a brothel, until it is liberated by a woman's anarchist group. Maria joins the group and eventually goes to the front. The women's group faces the problems of fighting not only the nationalists, but also factions on the left seeking to impose a more traditional military structure. Written by Brian Rawnsley",0.668261,/v13BmnhN0Zar4ek4dH0zXLBXZ4z.jpg,"[{'name': 'Academy Pictures', 'id': 1036}, {'name': 'Erato Films', 'id': 2239}, {'name': 'Lolafilms', 'id': 6861}, {'name': 'Canal+ España', 'id': 9335}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1996-04-19,0.0,125.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Freedomfighters,False,6.7,12.0
False,,1400000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,16442,tt0034167,en,Sergeant York,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,3.336494,/2oQZp8RMxUNW6NwE1HdZuy8kWvV.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1941-07-02,16361885.0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Missiles! Jets! Tanks! ...It's Still The Guy With Guts And A Gun Who Wins The War!,Sergeant York,False,7.1,47.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",,12576,tt0286306,en,Deathwatch,"In the brutal trench fighting of the First World War, a British Infantry Company is separated from their regiment after a fierce battle. Attempting to return to their lines, the British soldiers discover what appears to be a bombed out German trench, abandoned except for a few dazed German soldiers. After killing most of the Germans, and taking one prisoner, the British company fortifies to hold the trench until reinforcements can arrive. Soon, however, strange things being to happen as a sense of evil descends on the trench and the British begin turn on each other.",4.766826,/58zjT8SeELvGzSMNR9MguJZVkFw.jpg,"[{'name': 'Portobello Pictures', 'id': 486}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Odyssey Entertainment', 'id': 3539}, {'name': 'ApolloMedia Distribution', 'id': 16850}, {'name': 'Film and Music Entertainment (F&ME)', 'id': 21446}, {'name': 'Q&Q Medien', 'id': 45443}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-10-06,2270658.0,94.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Deliver them from evil.,Deathwatch,False,5.9,59.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]",,111310,tt0025607,en,Operator 13,"Union spy Gail Loveless impersonates a black maid in the early days of the Civil War, but complications arise when she falls in love with a Confederate officer.",0.384003,/azfpULcP0Sav93W8yJSEh5z8rYE.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-06-08,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Operator 13,False,3.5,2.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,102541,tt0018253,en,The Patent Leather Kid,"The Patent Leather Kid is a 1927 silent film which tells the story of a boxer who scoffs at fighting outside the ring... particularly for the United States once it enters World War I. Eventually, he is drafted, is shipped overseas, and performs a heroic act, which results in his being severely wounded.",0.001402,/vk3HGrQ8iQ2D3uuDCQr9QiJMVXs.jpg,"[{'name': 'First National Pictures', 'id': 3245}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1927-09-01,0.0,150.0,[],Released,Fries of youth and courage that will set your heart ablaze! The love-romance that Broadway held dear to its heart for four months!,The Patent Leather Kid,False,0.0,0.0
False,,66000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",http://www.warhorsemovie.com/,57212,tt1568911,en,War Horse,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",8.166363,/6wMoQyJddEiLCzLUHiX7LNWhDol.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Reliance Entertainment', 'id': 7294}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-12-25,177584879.0,146.0,"[{'iso_639_1': 'th', 'name': 'ภาษาไทย'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Separated by War. Tested by Battle. Bound by Friendship.,War Horse,False,7.0,1016.0
