adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]",,146970,tt0071766,it,Lo chiamavano Tresette... giocava sempre col morto,,0.519918,/oWEE61S06OxdzmjCjaio0Slr2wc.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1973-05-03,0.0,87.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,In the West There Was a Man Named Invincible,False,8.0,1.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,10856,tt0220580,es,Intacto,An enigmatic tale of four people whose lives are intertwined by destiny are subject to the laws of fate. They discover that luck is something they cannot afford to be without as they gamble with the highest stakes possible in a deadly game from which only one of them will emerge intact.,3.249017,/pmpkBlCLH3wkjU6aXmhuqxrGvd1.jpg,"[{'name': 'Telecinco', 'id': 1182}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Sociedad General de Cine (SOGECINE) S.A.', 'id': 11954}, {'name': 'Gestevisión Telecinco S.A.', 'id': 23490}, {'name': 'Tenerife Film Commission', 'id': 23491}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2001-11-06,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Some are born with luck. Others gamble for it.,Intacto,False,6.7,48.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,118444,tt0052030,en,Onionhead,"Follow-up to Andy Griffith's big hit in ""No Time for Sergeants"" moves the action to the Coast Guard and WW II.",0.087466,/kRkGBan4WibGd6JIQv9qui036Tq.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1958-10-25,0.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Ship's Cook who has the Coast Guard in a Stew!,Onionhead,False,6.0,2.0
False,"{'id': 308153, 'name': 'The Cheerleaders - Collection', 'poster_path': '/5ZkrxeuJkcblrQNsm5G3W4XhbuA.jpg', 'backdrop_path': None}",0,"[{'id': 35, 'name': 'Comedy'}]",,54396,tt0068364,en,The Cheerleaders,A group of cheerleaders from the local high school decide to show their school spirit for their football team by sleeping with the opponents the night before the game so that they can be so worn out the opposition won't be able to play.,0.457852,/y3SiryLglQdmuHc0WSSirP8WUlk.jpg,"[{'name': 'The Cheerleaders Company', 'id': 20772}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1973-03-01,0.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Come and huddle with the cheerleaders.,The Cheerleaders,False,4.5,2.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,50467,tt0280949,en,Miranda,"A librarian begins a passionate affair with a mysterious woman who walks into his library. When she suddenly disappears he travels down to London to search for her only to discover that she has three identities - dancer, dominatrix and con-woman. But which one is the real Miranda?",0.871444,/r4mgrud9lMHfiGbnlKgY4c8gM4n.jpg,"[{'name': 'Feelgood Films', 'id': 90899}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-01-18,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,smartsexydangeroussmartsexydangeroussmart,Miranda,False,6.4,5.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,9643,tt0120037,de,"Rossini, oder die mörderische Frage, wer mit wem schlief","Zigeuner is on the hunt for the woman of his dreams, a woman who should also play the main role in the film. Meanwhile, ruthless producer Oskar Reiter wants to buy the film rights at all costs - and he is struggling for the love of the beautiful Valerie.",1.092225,/760UN3DxbKJOkeOoN4KBUSAkdQu.jpg,"[{'name': 'Fanes Film', 'id': 330}, {'name': 'Bavaria Film', 'id': 1704}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1997-01-23,0.0,118.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Rossini,False,7.1,7.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,74057,tt0070731,en,Steelyard Blues,"A group of misfits decide to leave for a place that they can all be free. There mode of transportation is a PBY flying boat. The only problem is that the PBY needs a lot of work and they will need jobs to pay for the parts. When they find that they have only 10 days before the PBY is sold for scrap, they decide on borrowing the parts for their trip",0.796176,/3yyFWwxCQlUzgkYPZmmqmo67QuJ.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1973-01-31,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,If you can't beat 'em ... drive 'em crazy!,Steelyard Blues,False,6.5,2.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,99977,tt0079308,en,Hot Stuff,When a police department's burglary task force is facing the possibility of being shut down because of their low conviction rate decides to try a new approach to apprehending their targets. They take over a pawn shop where thieves go to unload their merchandise. They record them as they bring stuff in and get them to tell them where they got it. Eventually they're threatened by the mob.,0.215778,/4gtRKW8hM7UWkWS4xMZ2JhxQWSd.jpg,"[{'name': 'Rastar Pictures', 'id': 2070}]",[],1979-08-10,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You can't turn this mob over to the cops. They are the cops.,Hot Stuff,False,7.8,6.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",,51302,tt0274678,en,The Muppet Musicians of Bremen,Four mistreated farm animals seek refuge as a band of traveling musicians in this musical tale narrated by Kermit the Frog.,0.561556,/36kK6zeQunhCQ9CwUvZyFdaTKCR.jpg,"[{'name': 'Jim Henson Productions', 'id': 2504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1972-01-01,0.0,50.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Muppet Musicians of Bremen,False,0.0,0.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,69727,tt0126301,en,Final Justice,"A cop relies on a young car thief to take down four gangsters, who plan to rob a rich merchant for a large amount of money.",0.350875,/l1WTRPjhvazpuH5EAlERhQ0jiqY.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1988-06-23,0.0,95.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Final Justice,False,4.4,4.0
