adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,318042,tt4291066,en,B-Movie: Lust & Sound in West-Berlin,Documentary about the wild music scene in West Berlin between 1979 and 1989.,1.22249,/gC119dO54j1uDhWns9leH55RC8x.jpg,"[{'name': 'Scenes From', 'id': 64730}, {'name': 'DEF Media', 'id': 64731}, {'name': 'Interzone Pictures', 'id': 64732}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2015-02-05,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,B-Movie: Lust & Sound in West-Berlin,False,8.4,9.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",http://www.wie-im-himmel-derfilm.de/start.html,464,tt0382330,sv,Så som i himmelen,A musical romantic tragedy about a famous composer who moves back to his small hometown after having had heart troubles. His search for a simple everyday life leads him into teaching the local church choir which is not easily accepted by the town yet the choir builds a great love for their teacher.,3.643125,/86c6dJecxlptDUtfkAHcyxeWkNQ.jpg,"[{'name': 'GF Studios AB', 'id': 242}, {'name': 'Lefwander Kapitalförvaltning AB', 'id': 2495}, {'name': 'Sonet Film AB', 'id': 7937}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",2004-09-03,0.0,132.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,As It Is in Heaven,False,7.0,43.0
False,,0,"[{'id': 10402, 'name': 'Music'}]",,91950,tt1550481,es,Flamenco Flamenco,A look at the history and traditions of flamenco music and dance.,0.428917,/cl8gwRRGxStaKJPpaPGC1Of0Voe.jpg,[],[],2010-11-19,0.0,97.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Flamenco Flamenco,False,6.6,4.0
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,117963,tt1836183,en,The Harmony Game,"The end of a decade when the world was in crisis and inspiration and hope needed resurrecting, an influential duo released a masterpiece of popular music, Bridge Over Troubled Water. Through darkness and light, the album takes its listeners on an emotional ride echoing the era and one which continues to inspire an audience the world over 40 years later. Its symphonic hymn of a title track became an anthem for a generation. The Harmony Game tells the story behind what is widely considered Simon and Garfunkel's best work, Bridge Over Troubled Water. The influential duo's last studio album has its legacy shrouded in rock n' roll mythology with legendary tales of inspiration, innovation and separation. Paul Simon, Art Garfunkel and their collaborators share the journey in their own words and reflect back on its impact 40 years later and includes never before seen film, photos and memorabilia.",0.100029,/sIPGadJmCwBNBIBL3MeN1Rz4lZb.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-02-11,0.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Making of Bridge Over Troulbled Water,The Harmony Game,False,8.0,1.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,62567,tt0030202,en,The Great Waltz,Composer Johann Strauss risks his marriage over his infatuation with a beautiful singer.,0.506852,/6O47nbIHbqlwiJSaXP4YAlx01Mn.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': ""Loew's Incorporated"", 'id': 31892}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-11-04,0.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Your beating heart,your pounding pulse will tell you it's the most exciting musical love story ever told!",The Great Waltz,False,5.0,1.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",,18929,tt0053796,en,The Entertainer,"Archie Rice, an old-time British vaudeville performer sinking into final defeat, schemes to stay in show business.",2.678395,/sKiv2WzxrGrYA7Vc8eqzZvixNZg.jpg,"[{'name': 'Woodfall Film Productions', 'id': 1980}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1960-07-25,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,As the applause grew fainter ... As the spotlight grew dimmer ... His women were younger!,The Entertainer,False,5.5,12.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,12614,tt0084865,en,Victor/Victoria,"A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.",5.378996,/8LMzl4oHkzpZN9b7EA9NPye8MNe.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Artista Management', 'id': 8844}, {'name': 'Peerford Ltd.', 'id': 8846}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1982-04-25,28215453.0,132.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,The disguise surprise comedy of the year!,Victor/Victoria,False,6.9,89.0
False,,0,"[{'id': 10402, 'name': 'Music'}]",,21317,tt1326839,en,Paramore: The Final Riot!,"'The Final RIOT!' is a live CD and DVD that documents the band in their most intimate moments on tour. On top of the all access documentary footage, an entire 15 song live set was filmed at the Chicago stop of The Final RIOT! Tour, for what the band has called their 'best show ever.' Join millions of Paramore fans around the world as they experience 'The Final RIOT!'",0.059843,/iweHmyQK8d5IAAkXn8Rm6Iu6Un2.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-10-25,0.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Paramore: The Final Riot!,True,10.0,1.0
False,,80000,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",http://www.cosmicpsychos.com.au/,214250,tt2476090,en,Cosmic Psychos: Blokes You Can Trust,"Form small beginnings on a Victorian farm to globetrotting punk rock icons, the Cosmic Psychos became one of Australia's most influential bands. Now after thirty years of music making, 'Cosmic Psychos: Blokes You Can Trust' documents the highs and lows of the group's musical career as told by members from the Melvins, L7, Mud Honey, Pearl Jam, and The Hard-Ons with other international music producers and from the Cosmic Psycho band members themselves.",0.081655,/9F564ujDy1OpvO2l4yzMvMqn5Lk.jpg,"[{'name': 'Umbrella Entertainment', 'id': 54874}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2013-08-08,0.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,30 Years And A Million Beers With Australia's Most Unlikely Rock And Roll Heroes,Cosmic Psychos: Blokes You Can Trust,False,7.5,1.0
False,"{'id': 187736, 'name': 'Leningrad Cowboys Collection', 'poster_path': '/iWzKOYMSVIYhMGTnAGRAdbrzqBZ.jpg', 'backdrop_path': None}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",,30366,tt0107384,en,Leningrad Cowboys Meet Moses,"After years of fame and misfortune in Mexico, the members of the Leningrad Cowboys decide to return to their native village. Their former manager Vladimir, who now calls himself Moses lead them on their way home.",0.548989,/vaodLzxUnjcwLhEUyoxXYhD3npp.jpg,[],"[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'PL', 'name': 'Poland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-02-24,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Leningrad Cowboys Meet Moses,False,6.1,7.0
